"id","name","description","website","established","isOrganic","images__icon","images__medium","images__large","status","statusDisplay","createDate","updateDate","streetAddress","locality","region","postalCode","phone","latitude","longitude","isPrimary","inPlanning","isClosed","openToPublic","locationType","locationTypeDisplay","countryIsoCode","displayName","isoThree","numberCode","extendedAddress","yearOpened","hoursOfOperation","mailingListUrl","yearClosed"
"Af10Nt","#FREEDOM Craft Brewery","#FREEDOM started as a joint venture of Barry Hansen Jr, Greg Cristallo, Angus Sinclair, David Hitchings, Eric Phillips and Harris Decker. The company now consists of eight partners and has recently moved into a new facility to begin production.    Established in 2012, #FREEDOM Craft Brewery (pronounced ""Hashtag Freedom"") features modern beers brewed using traditional methods. Our brews are all natural and our flagship beer is created entirely of American grown ingredients.","http://freedombrew.us","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/YXDiJk/upload_GnvK3I-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/YXDiJk/upload_GnvK3I-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/YXDiJk/upload_GnvK3I-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","3199 Albany Post Road","Buchanan","New York","10511","(914) 979-2337","41.2644499","-73.935531","Y","Y","N","N","micro","Micro Brewery","US","United States","USA","","","","","",""
"EdRcIs","'t Hofbrouwerijke","","http://www.thofbrouwerijke.be/","","N","https://s3.amazonaws.com/brewerydbapi/brewery/Klgom2/upload_Ks8JQY-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/Klgom2/upload_Ks8JQY-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/Klgom2/upload_Ks8JQY-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Hoogstraat 151","Beerzel","","2580","+32 15 75.77.07","51.0594689","4.6614121","Y","N","N","Y","micro","Micro Brewery","BE","Belgium","BEL","56","","","","",""
"qxAQSJ","(512) Brewing Company","(512) Brewing is a microbrewery located in the heart of Austin, brewing for the community using as many local, domestic and organic ingredients as possible. We use USDA organic 2-row base malt because it's the right thing to do. We self distribute because we can and we're draft only to keep the product fresh and to reduce disposable packaging. You can taste the passion in our products and we appreciate all our local support.","http://www.512brewing.com/","2008","N","https://s3.amazonaws.com/brewerydbapi/brewery/cJio9R/upload_knal4J-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/cJio9R/upload_knal4J-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/cJio9R/upload_knal4J-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:38:12","407 Radam","Austin","Texas","78745","512-707-2337","30.2234","-97.769736","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","F200","2008","","",""
"TGtEbk","Office","We started back in 2006 with three guys and one simple vision.. brew beer, drink beer and have fun doing it. Since then we have grown but our focus will always stay the same... Rough morning? Grab a beer. Powder day? The ""gone skiing"" sign goes up. Too hot to work? Mandatory company float. You get the picture... here's to living it up with a beer in hand!","http://www.10barrel.com/","2006","N","https://s3.amazonaws.com/brewerydbapi/brewery/snQlvg/upload_qMSc0A-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/snQlvg/upload_qMSc0A-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/snQlvg/upload_qMSc0A-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","20750 High Desert Ln","Bend","Oregon","97701","541-585-1007","44.089005","-121.285385","N","N","N","N","office","Office","US","United States","USA","","Suite #107","","","",""
"YgHnZO","","","","","","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","62970 18th Street","Bend","Oregon","97701","(541) 585-1007","44.087318","-121.281329","N","Y","N","Y","micro","Micro Brewery","US","United States","USA","","","","","",""
"B00bip","Bend Pub","","","","","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:38:14","1135 NW Galveston Ave","Bend","Oregon","97701","(541) 678-5228","44.0562359","-121.3286052","N","N","N","Y","restaurant","Restaurant/Ale House","US","United States","USA","","","","Mon:  11:00am - 11:00pm Tue:  11:00am - 11:00pm Wed:  11:00am - 11:00pm Thu:  11:00am - 11:00pm Fri:  11:00am - 12:00am Sat:  11:00am - 12:00am Sun:  11:00am - 11:00pm  ","",""
"7W7T98","Brewpub","","http://www.10barrel.com/","","","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:38:15","826 West Bannock Street","Boise","Idaho","83702","(208) 344-5870","43.617859","-116.202689","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","","","","Mon:  11:00am - 12:00am Tue:  11:00am - 12:00am Wed:  11:00am - 12:00am Thu:  11:00am - 12:00am Fri:  11:00am - 12:00am Sat:  11:00am - 12:00am Sun:  11:00am - 12:00am  ","",""
"vM3y9r","101 North Brewing Company","Just a bunch of reckless boys who aren’t afraid to put the cart before the horse, twist every arm, break every sweat, and genuinely fake it till we make it. Because in these troubled times, creating and sharing beer with the world just made sense, if we could do it our way... with visual aids and a soundtrack.    At 101 North, we believe progressive is a beer style.","http://www.101northbeer.com/","","N","https://s3.amazonaws.com/brewerydbapi/brewery/IPhAuu/upload_Ly0JRh-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/IPhAuu/upload_Ly0JRh-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/IPhAuu/upload_Ly0JRh-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1304 Scott St","Petaluma","California","94954","(707) 778-8384","38.270416","-122.665037","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","Ste D","","","",""
"ZHGArj","1188 Brewing Company","Grant County's first brewery, we are nestled in the city of John Day, Oregon surrounded by beautiful mountains, rivers, and ranchlands. Stop by for a cold pint, or to fill a growler or two. In addition to our own beers brewed on site, we also offer a number of guest taps from small breweries around Oregon.","http://1188brewing.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/HNWXrd/upload_tBasPq-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/HNWXrd/upload_tBasPq-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/HNWXrd/upload_tBasPq-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:38:17","141 East Main Street","John Day","Oregon","97845","(541) 575-1188","44.4160991","-118.9517181","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","2012","Wed:  11:00am - 9:00pm Thu:  11:00am - 9:00pm Fri:  11:00am - 9:00pm Sat:  11:00am - 9:00pm  ","",""
"4XTqCU","127 Brewing","","https://www.facebook.com/127brewing","2014","N","https://s3.amazonaws.com/brewerydbapi/brewery/9oltPu/upload_hsq8BK-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/9oltPu/upload_hsq8BK-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/9oltPu/upload_hsq8BK-large.png","verified","Verified","2012-01-03 02:41:33","2014-09-04 10:37:23","3090 Shirley Drive","Jackson","Michigan","49201","(517) 258-1346","42.2860115","-84.4312613","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","2014","Wed:  5:00pm - 10:00pm Thu:  5:00pm - 10:00pm Fri:  5:00pm - 12:00am Sat:  5:00pm - 12:00am  ","",""
