"id","name","website","established","isOrganic","status","statusDisplay","createDate","updateDate","streetAddress","region","postalCode","latitude","longitude","isPrimary","inPlanning","isClosed","openToPublic","locationType","locationTypeDisplay","countryIsoCode","displayName","isoThree","numberCode","description","images__icon","images__medium","images__large","locality","phone","hoursOfOperation","yearOpened","extendedAddress","mailingListUrl","yearClosed","isoCode"
"5Abc2i","Schalander Hausbrauerei","http://hausbrauerei-berlin.de/","2009","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Bänschstraße 91","Berlin","10247","52.515696","13.46485","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","","","","","","","",""
"S8Vx8T","Scharer's Little Brewery","http://www.scharers.com.au","1987","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","180 Old Hume Hwy","NSW","2571","-34.319477","150.577972","Y","N","N","Y","micro","Micro Brewery","AU","Australia","AUS","36","In the Early 1970's Geoffrey Scharer, a 4th generation publican of Picton visited England for the international Brew Ex-Trade Fair, where he found the inspiration to brew German Style Beers here in Australia.    Against all odds, convinced that he could make high quality, natural beers Scharer set off about perfecting his recipes and methods. In 1981 he received the recognition he deserved in the form of the first (on Premises) brewing License ever awarded in Australia. He then set about setting up the first Pub Brewery.    In 1987, Scharer opened George IV Inn in Picton where we tapped his traditional style perfected brews. This huge step paved the way for many of the fantastic craft beers now brewed and enjoyed throughout Australia today.    In the early 1990’s Scharer operated and lived in the Australian Hotel in The Rocks where his famed ales (Lager and Bock) were the only beers on tap. If one was to ask for a different mainstream beer, they would be told upfront ‘we don’t sell that shit here’ and moved onto the next pub down the road. Geoff was a larrikin and larger than life itself.    In the early 2000’s Geoff sold the pub and brewery on one condition ‘the recipes never changed’ and to this day – they haven’t.    In May 2012, Geoff the man known as ‘one of the Grandfathers of Australian Craft beer’ passed away in his sleep. A huge loss of one of the legends of the industry; his legacy will forever live on in his beers.","https://s3.amazonaws.com/brewerydbapi/brewery/s3OJNh/upload_C8GtgM-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/s3OJNh/upload_C8GtgM-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/s3OJNh/upload_C8GtgM-large.png","Picton","+61 2 4677 1415","","","","","",""
"ZG4LpG","Schaumburger Privat-Brauerei","http://www.schaumburger-brauerei.de/","1873","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","St. Annen 11","Niedersachsen","31655","52.315405","9.201404","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","Stadthagen","","","","","","",""
"6sHf19","Scheldebrouwerij","http://www.scheldebrouwerij.nl/","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Wenenstraat 7","","2321","51.472555","4.726545","Y","N","N","Y","micro","Micro Brewery","BE","Belgium","BEL","56","One of few breweries that still brew their beers the authentic way. This means only natural ingredients are used, no filtering and no pasteurisation is applied. Ever since we've started our brewery, the quality of our beers has been our most important concern.     Most of our beers are connected to old folk stories, for example ""De Lamme Goedzak"" or""De Dulle Griet"". The brewery and its beers are a true monument for beer tasters.","","","","Meer","+32 (0)3 665 36 96","","","","","",""
"IVQ2aC","Schilling Beer Co.","http://www.schillingbeer.com","2013","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","18 Mill St.","New Hampshire","03561","44.3060404","-71.77129","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","","Schilling Beer Co.'s lagers and ales are inspired by centuries-old Belgian, Czech and German beer-making, yet are defined by their modern relevance and creativity. Our gourmet wood-fired pizzas are topped with the freshest ingredients and make the ideal accompaniment to our beer.    Schilling is proud to brew world-class lagers and ales for our community and friends. Come visit our craft brewery and riverside taproom (a restored 18th century grist mill) in the pristine White Mountains in Littleton, NH (just off Main St).","https://s3.amazonaws.com/brewerydbapi/brewery/XKnAyM/upload_UP6yzw-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/XKnAyM/upload_UP6yzw-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/XKnAyM/upload_UP6yzw-large.png","Littleton","(603) 444-4800","Mon - Sun: 12:00 pm - 12:00 am","2013","","","",""
"4SElHu","SchillingBridge Winery & Microbrewery","http://www.schillingbridgewinery.com/","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","62193 710th Road","Nebraska","68420","40.116706","-96.162202","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","","","","Pawnee City","402-852-2400","","","","","",""
"NBjiVH","Schlachthof Bräu","http://www.schlachthofbraeu.de/","1999","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Mühlstraße 15","","72622","48.605989","9.306445","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","Nürtingen","","","","","","",""
"glxZRL","Schlobrauerei Reckendorf","","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Mhlweg 18","Bayern","","50.0224","10.82995","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","Reckendorf","49-(0)9544-/-9421-0","","","","","",""
"AFy9Aq","Schloßbrauerei Schwarzbach","","1720","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Schleusinger Straße 27","Thüringen","D-98673","50.468887","10.85223","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","Schwarzbach","","","","","","",""
"J5gNam","Schloss Eggenberg","http://www.schloss-eggenberg.at/","1681","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Eggenberg 1","Vorchdorf","4655","47.9898399","13.9228953","Y","N","N","Y","micro","Micro Brewery","AT","Austria","AUT","40","The brewery Eggenberg is for over 200 years in the family and can be up to the 14th Stöhr Century has a long tradition of brewing beer look back. Upper Austria's largest private brewery is located in the picturesque Salzkammergut region, generated where only the best domestic raw materials, the famous beer. The revitalized modern vaulted rooms of the castle of Westraktes Eggenberg are available for events.","https://s3.amazonaws.com/brewerydbapi/brewery/6gpvgZ/upload_dRthXy-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/6gpvgZ/upload_dRthXy-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/6gpvgZ/upload_dRthXy-large.png","","43-0-76-14/63-45-0","","1681","","","",""
"vPPBkD","Schlossbrauerei Au-Hallertau","http://www.auer-bier.de/","1590","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Schlossbräugasse 2","","84072","48.558307","11.741228","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","The Schlossbrauerei Au-Halltertau respects the tradition and heritage of quality traditional premium brewing. For more than 400 years the brewery has been taking care that the local traditional beers are supplied regionally as well as internationally.    It is no longer important how advanced we are and how much technical support we use during our daily processes. The most important aspect for us is that we keep our traditional heritage. As we know the saying ""New is not in comparison with the word better"".    The Schlossbrauerei Au-Halltertau respects the tradition and heritage of quality traditional premium brewing. For more than 400 years the brewery has been taking care that the local traditional beers are supplied regionally as well as internationally. The first documented brew master was the royal court brew master named ""Schweiger"" in 1590. At that time the Noble Freiherr Baron von Thurn was the lord of the castle. He was the fourth noble lord since 990 a.d through 1281 a.d that ruled in Au Hallertau.    Since 1846 the Noble rulers and Baron Freiherren Beck von Peccoz have ruled and resided in the magnificent ""Moated Castle"" in Au i.d. Hallertau.    The noble family of Baron Freiherren Beck von Peccoz is still living in the castle an in the meantime it is the 6th generation.    At present Baron Freiherr Beck von Peccoz is making sure that the Castle Brewery stays a traditional brewery together with the necessary vision into the future to create a sustainable traditional premium quality future.    Michael Baron Freiherr Beck von Peccoz’s utmost desire is not to miss a successful sustainable future and at the same time to keep up the 6 generations of writing a successful historical event for the Castle brewery and it history.    The Brew Master Mr. Stefan Ebensperger is supporting the Baron with his highly qualified experience and skills. The necessary emotions and bindings towards a brewing heritage that has been passed down for generations is needed. Tradition is naturally one of the highest priorities for Mr. Ebensperger due to our traditional purity laws dating back to 1516 a.d therefore you can be assured that the quality is a premium German and he says, ""It will also stay like that"". Since 1516 the Bavarians have known how important the quality of the ingredients and the brewing process actually are. Beer was known during the Middle Ages as the same significant value as bread. As a part of the staple die, it was also germ free and full of healthy calories. During that time the average citizen spent a good 20 percent of their income on beer.    On the 23. April 1516 the Bavaria Duke Wilhelm IV. Executed and introduced the famous Bavarian Purity law into the Bavarian Parliament in Ingolstadt with the famous words: ""Just like beer in Summer an in winter as well as the county or province it is brewed or served"" Since that day it is prohibited to brew beer for the German market with anything else apart from hops, malt, water and yeast. In 1918 the Weimarer Republik accepted the Bavarian purity law into its republic, therefore the Bavarian purity then became a German law. Under the purity law or Bavaria and Germany the Castle Brewery, inspects, insures and stores all its quality premium beers as in the past historical way the Castle Lords and Brew Masters did.","https://s3.amazonaws.com/brewerydbapi/brewery/HJTHzW/upload_YbYgau-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/HJTHzW/upload_YbYgau-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/HJTHzW/upload_YbYgau-large.png","Au in der Hallertau","+49 / 87 52 / 86 32","","1590","","","",""
"hbitec","Schlossbrauerei Aulendorf","http://www.schlossbrauerei-aulendorf.de/","2008","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Schulstrasse 26","Baden-Württemberg","88326","47.950771","9.638201","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","Aulendorf","","","","","","",""
"jJOwd3","Schlossbrauerei Fürstlich Drehna der Germania Brauerei","http://test.germaniabrauerei.de/","1745","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Lindenplatz 10","Brandenburg","15926","51.759379","13.803109","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","","Luckau","","","","","","",""
