"id","name","description","website","isOrganic","status","statusDisplay","createDate","updateDate","streetAddress","locality","region","postalCode","phone","hoursOfOperation","latitude","longitude","isPrimary","inPlanning","isClosed","openToPublic","locationType","locationTypeDisplay","countryIsoCode","displayName","isoThree","images__icon","images__medium","images__large","extendedAddress","established","yearOpened","mailingListUrl","numberCode","yearClosed"
"hhvY4c","The Barber Shop","The Barber Shop brewpub is located in downtown Dripping Springs, Texas in a historic building that began life in 1924. In its earliest life, the building served as a garage before later becoming a barber shop. In addition to a well-considered selection of popular local, national, and international beers and wines, we have a tap or two of our own special brews!","http://www.saludbeershop.com/","N","verified","Verified","2012-01-03 02:41:33","2014-10-29 12:05:49","3306-B North Davidson St","Charlotte","North Carolina","28205","(704) 900-7767","Mon-Fri: 3pm – 11pm  Sat: Noon – 11pm  Sun: 2pm- 8pm","35.2477994","-80.8040482","Y","Y","N","Y","nano","Nano Brewery","US","United States","USA","","","","","","","","",""
"RAOZxJ","The Barking Duck Brewing Co.","The Barking Duck Brewing Co is a NEW brewery to open in Charlotte, NC! Providing a new and fresh approach to craft brewing!","http://www.barkingduckbrew.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","Pineville","North Carolina","28134","(980) 272-7778","","35.0832014","-80.8922957","Y","Y","N","Y","micro","Micro Brewery","US","United States","USA","https://s3.amazonaws.com/brewerydbapi/brewery/78GQyY/upload_MzkGtq-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/78GQyY/upload_MzkGtq-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/78GQyY/upload_MzkGtq-large.png","","","","","",""
"K1eME3","The Beer Company","The Beer Company is a locally owned restaurant and brewery. Our hand crafted brews have fresh ingredients and a great, rich taste. We brew just feet away from where you'll enjoy your quality beer and delicious meal. If you appreciate quality, you'll love The Beer Company.","http://www.thebeerco.net/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","602 Broadway","San Diego","California","92101","619-398-0707","Open Everyday: 11:00am– 2:00am","32.7157952","-117.1589518","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","https://s3.amazonaws.com/brewerydbapi/brewery/S17Tg0/upload_aRZsLH-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/S17Tg0/upload_aRZsLH-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/S17Tg0/upload_aRZsLH-large.png","#101","","","","",""
"YLICES","The Beer Diviner Tap Room & Market","New York Farm Brewery Tap Room and Market    I brew small, controlled batches using Brew Magic's advanced Recirculating Infusion Mash System (RIMS). The result is smooth, delicious pale, red, stout and medieval gruit ales - or any beer you care to custom order. Each bottle is filled by hand and conditioned at optimum temperatures. In 2012, I received my licenses for Bly Hollow Brewery, d.b.a.The Beer Diviner.","http://www.thebeerdiviner.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","15950 NY Route 22","Stephentown","New York","12168","(518) 658-0299","Friday 1pm - 8pm","42.547768","-73.3687091","Y","N","N","Y","tasting","Tasting Room","US","United States","USA","https://s3.amazonaws.com/brewerydbapi/brewery/5GKTi0/upload_j0HaDj-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/5GKTi0/upload_j0HaDj-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/5GKTi0/upload_j0HaDj-large.png","Corner of Rt 43 & 22","2012","2013","","",""
"fE3e0J","The Beer Research Institute","The Beer Research Institute is a gathering place where people can meet over a pint and a good meal. The tap list will be ever changing and the food is made from scratch. As the name implies, we will be innovative in our brewing and in the kitchen.    Our focus will be specialty runs of craft beer focusing on aggressive West Coast style American ales and Belgian style ales. We're just a couple of Beer Geeks who like to make great beer! Our kitchen will offer scratch made craft food that will pair perfectly with our unique beer offerings.","http://www.thebeerresearchinstitute.com","N","verified","Verified","2012-01-03 02:41:33","2014-08-14 11:27:17","1641 S Stapley Dr","Mesa","Arizona","85204","","","33.3846485","-111.8027455","Y","Y","N","Y","micro","Micro Brewery","US","United States","USA","https://s3.amazonaws.com/brewerydbapi/brewery/2b0qJ7/upload_XT6MfW-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/2b0qJ7/upload_XT6MfW-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/2b0qJ7/upload_XT6MfW-large.png","Suite 104","2014","","","",""
"vpdrzj","The Beer'd Brewing Co.","The Beer'd Brewing Co. is a nano brewery located in Stonington, Connecticut. We will welcome visitors into our tasting room to sample our offerings and purchase half gallon growlers for takeaway. Also an exclusive selection of local bars and restaurants will offer our ales on draft.","http://beerdbrewing.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","22 Bayview Ave.","Stonington","Connecticut","06378","(860) 857-1014","Fri: 5:00 pm - 9:00 pm  Sat - Sun: 1:00 pm - 5:00 pm","41.3378989","-71.899219","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","https://s3.amazonaws.com/brewerydbapi/brewery/w1ZO51/upload_mZimlk-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/w1ZO51/upload_mZimlk-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/w1ZO51/upload_mZimlk-large.png","Unit # 15","2011","2011","","",""
"wLNANU","The Big Cheese Pizza Co. & Brewery","The Big Cheese Pizza Co. and Brewery is one of the few pizza places in Southern California that brews its own beers. We currently have eight different beers. We also have seasonal beers that will make their debut throughout the year.The preliminary restaurant to sample our product would be the Riverside, CA location which is where we brew our fine product.","http://www.thebigcheesepizza.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","3397 Mission Inn Avenue","Riverside","California","92501","951-784-0555","Mon - Thu: 11:00 am - 9:00 pm  Fri - Sat: 11:00 am - 12:00 am  Sun: 11:00 am - 9:00 pm","33.9813555","-117.3702689","N","N","Y","Y","brewpub","Brewpub","US","United States","USA","https://s3.amazonaws.com/brewerydbapi/brewery/jeOXxz/upload_wwkI3Z-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/jeOXxz/upload_wwkI3Z-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/jeOXxz/upload_wwkI3Z-large.png","","","","","",""
"Pr3LuA","Murrieta","","http://www.thebigcheesepizza.com/","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","41080 California Oaks Rd","Murrieta","California","92562","951-304-9997","","33.5654342","-117.207041","N","N","N","N","restaurant","Restaurant/Ale House","US","United States","USA","","","","","","","","",""
"2AmA3b","Hemet","","http://www.thebigcheesepizza.com/","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1153 S State St","Hemet","California","92543","951-652-0015","","33.7281943","-116.97155","Y","N","N","N","restaurant","Restaurant/Ale House","US","United States","USA","","","","","","","","",""
"eUUyD2","Yucaipa","","http://www.thebigcheesepizza.com/","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","12013 5th St","Yucaipa","California","92399","909-797-8450","","34.035253","-117.055056","N","N","N","N","restaurant","Restaurant/Ale House","US","United States","USA","","","","","","","","",""
"Yf5yWv","The Black Abbey Brewing Company","“St. Anne, help me! I will become a monk!” Thus cried Martin Luther as a summer thunderstorm bore down on him in Stotternheim, Germany in 1505. These words marked the beginning of a momentous shift in religious history, but as you’re about to see, they led to some great beer, too.","http://www.blackabbeybrewing.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","2952 Sidco Dr.","Nashville","Tennessee","37204","615-755-0070","Tasting Room Hours:  Thursday and Friday, 3:30pm – 8:00pm  Saturday, 2:00pm – 8:00pm","36.105913","-86.755296","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","https://s3.amazonaws.com/brewerydbapi/brewery/fe44im/upload_AkTEsF-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/fe44im/upload_AkTEsF-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/fe44im/upload_AkTEsF-large.png","","2011","","","",""
"AyomgM","The Blind Pig Brewery","An English style pub with it's own built-in brewery. Four kinds of beer brewed just a few feet from where it's served. Plus hundreds of local and craft beers on cask, tap or bottle.","http://blindpigbrewery.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","120 N. Neil Street","Champaign","Illinois","61820","217-398-5133","","40.1171629","-88.2434059","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","","","","","2009","2009","","",""
"nIXapn","The Bread Agency","","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","110 Summit Dr","Corte Madera","California","94925","310-776-0009","","37.922985","-122.536109","Y","N","Y","Y","micro","Micro Brewery","US","United States","USA","","","","","","","","",""
"UQgaeX","Brewery","The Brew Gentleman Beer Company is a microbrewery located in the historic steel town of Braddock, PA. Our goals are to create an ambitious variety of high-quality beers, operate a comfortable taproom and lounge in which to serve them, and to be a part of the ongoing reinvention of Braddock.","http://www.brewgentlemen.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","512 Braddock Ave","Braddock","Pennsylvania","15104","(412) 871-5075","","40.404099","-79.870272","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","https://s3.amazonaws.com/brewerydbapi/brewery/dfRgHW/upload_y1Tzgd-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/dfRgHW/upload_y1Tzgd-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/dfRgHW/upload_y1Tzgd-large.png","","2014","2014","http://brewgentlemen.us5.list-manage.com/subscribe?u=95a6d4fb96cc38aa45959076e&id=268d21aee3","",""
"rVzPCl","The Brew Gentlemen Beer Co.","An experimental microbrewery for the Pittsburgh region and beyond. Creating exceptional craft beers for a growing community of people that share our constant sense of curiosity.","http://brewgentlemen.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","512 Braddock Ave","Braddock","Pennsylvania","15104","(412) 206-9243","","40.404099","-79.870272","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","https://s3.amazonaws.com/brewerydbapi/brewery/gWgplh/upload_0FqUse-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/gWgplh/upload_0FqUse-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/gWgplh/upload_0FqUse-large.png","","2012","2012","http://brewgentlemen.com/#connect","",""
"PcGOzE","The Brew Keeper","","http://www.brewkeeper.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","34445 Center Ridge Rd","North Ridgeville","Ohio","44039","440-377-6599","","41.395901","-81.999431","Y","N","Y","Y","brewpub","Brewpub","US","United States","USA","","","","","","","","",""
"LHQ79n","The Brew Kettle, Taproom and Smokehouse","The BREW Kettle opened its doors in the fall of 1995 as Ohio's First Brew-On-Premise Microbrewery.  From that first day it has been our goal to provide our customers with the guidance, equipment and the freshest ingredients to produce quality, hand-crafted beers in an environment that is professional, safe and fun.  Fourteen years and 35,000 batches later, we are still committed to our customers' needs and desires. We invite you to visit our brewery to have a ""look-see"", visit with our expert brewing staff, or try brewing a batch from our ""tried-and-true"" recipe list.  we guarantee you'll be hooked!","http://www.thebrewkettle.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","8377 Pearl Road","Strongsville","Ohio","44136","440-239-8788","Brewery:  Mon-Fri: 1:30 - 9pm  Sat: 9am - 6pm    Restaurant  Mon-Thu: 11:30am - 9pm  Fri-Sat: 11:30am - 10pm  Sun: 1pm-8pm    Pub  Mon-Thu: 11pm or later  Fri-Sat: til 12am  Sun: 1pm - 9pm","41.347018","-81.822588","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","https://s3.amazonaws.com/brewerydbapi/brewery/i1jKN5/upload_nspedf-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/i1jKN5/upload_nspedf-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/i1jKN5/upload_nspedf-large.png","","1995","1995","","",""
"muCluV","The Brew on Broadway","Craft Brewery and Coffee House with a great south faced Brew Garden that is  Dog friendly","http://thebrewonbroadway.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","3445 S. Broadway","Englewood","Colorado","80113","(303) 781-5665","Tue - Thu: 7:00 am - 9:00 pm  Fri: 7:00 am - 10:00 pm  Sat: 8:00 am - 10:00 pm  Sun: 8:00 am - 9:00 pm","39.654124","-104.98802","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","https://s3.amazonaws.com/brewerydbapi/brewery/1jZuIf/upload_bxK3pH-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/1jZuIf/upload_bxK3pH-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/1jZuIf/upload_bxK3pH-large.png","","2012","2012","","",""
"JH86vM","The Brew Stooges","","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","Huntsville","Alabama","","","","34.7303688","-86.5861037","Y","Y","N","Y","micro","Micro Brewery","US","United States","USA","https://s3.amazonaws.com/brewerydbapi/brewery/Eh15QH/upload_nKm66p-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/Eh15QH/upload_nKm66p-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/Eh15QH/upload_nKm66p-large.png","","2012","","","",""
