"id","name","description","website","established","isOrganic","images__icon","images__medium","images__large","status","statusDisplay","createDate","updateDate","streetAddress","extendedAddress","locality","region","postalCode","phone","hoursOfOperation","latitude","longitude","isPrimary","inPlanning","isClosed","openToPublic","locationType","locationTypeDisplay","countryIsoCode","yearOpened","displayName","isoThree","numberCode","mailingListUrl","yearClosed","currentPage","numberOfPages","totalResults"
"fUWCiQ","Westminster Brewing Co","Imagine a little, community-focused brewery looking to make   thirsty neighbors and friends a great product, then find it tucked   away in a casual, friendly setting and you are at the Westminster   Brewing Company! Located in our namesake city on the Front   Range of awesome Colorado, this production brewery's main   objective is to serve our community and help craft beer fans,   both seasoned and the newly initiated, find the varieties and   flavors they desire.","http://westminsterbrewingco.com","2014","N","https://s3.amazonaws.com/brewerydbapi/brewery/cEEC1C/upload_vNE0x2-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/cEEC1C/upload_vNE0x2-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/cEEC1C/upload_vNE0x2-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","7655 W 108th Ave","Unit 600","Westminster","Colorado","80021","(303) 284-1864","M-Th 3-9,  F-Sa 1-10,  Su 1-8","39.8931624","-105.0831241","Y","N","N","Y","micro","Micro Brewery","US","2013","United States","USA","","","","","",""
"idtWht","Weston Brewing Company","The Weston Brewing Company was first established in 1842 by German immigrant John Georgian. Georgian brought the tradition of lager brewing with him when he settled in Weston. The brewery was designed to utilize ice from the river during winter and lagering cellars dug deep into the ground to create ideal conditions for his beer which needed to be stored below 60 degrees for more than six weeks. In creating the brewery, the Weston Brewing Company became one of the first lager breweries in the United States.","http://www.westonirish.com/","2005","N","https://s3.amazonaws.com/brewerydbapi/brewery/BOLQe7/upload_M8YfyV-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/BOLQe7/upload_M8YfyV-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/BOLQe7/upload_M8YfyV-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","500 Welt St.","","Weston","Missouri","64098","816-640-5235","","39.411001","-94.899604","Y","N","N","Y","brewpub","Brewpub","US","2005","United States","USA","","","","","",""
"s9pDKk","H Weston & Sons Ltd","""Today, our traditionally produced, award winning draught and bottled products are not only available throughout the UK, but are exported to more than 40 countries worldwide. From supermarkets to local off licences, in hotels, restaurants, pubs and clubs you will find Westons products, continuing in our heritage of quality.""","http://www.westons-cider.co.uk/","1878","N","https://s3.amazonaws.com/brewerydbapi/brewery/MwSypd/upload_439qci-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/MwSypd/upload_439qci-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/MwSypd/upload_439qci-large.png","verified","Verified","2012-01-03 02:41:33","2014-10-09 18:36:39","The Bounds Much Marcle","","Ledbury","Herefordshire","HR82NQ","4401531660233","","51.992504","-2.51915","Y","Y","N","Y","cidery","Cidery","GB","","United Kingdom","GBR","826","","","","",""
"KxcKrK","Westport Brewing Company","Westport Brewing Company is the first microbrewery on the Washington Coast since 1944 when Pacific Brewing Company closed its doors. Emulating traditional brewing conditions, we brew our beer with local water without amendments, regionally grown hops, and domestic malts. We take advantage of our unique location, on a peninsula between the Pacific Ocean and Grays Harbor, to ferment our beer in polyethylene fermenters at ambient temperatures. This results in smooth, clear, unhurried beer with sparkling clarity, deep, complex flavor profiles, and remarkable consistency between styles.    We currently brew 19 styles of beer and are always exploring new recipes to appeal to the craft-wise thirsty palates of the region.    We currently brew in a 3-Barrel brewhouse but have plans to expand in the near future.    Our brewery welcomes visitors Thursday through Monday, noon to 6PM, each week to sample our wide variety of beer, visit with Mark and Robin and enjoy the beauty of Westport and the Washington Coast!","http://www.westportbrewing.com/","2011","N","https://s3.amazonaws.com/brewerydbapi/brewery/jL4YQE/upload_H7kWxl-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/jL4YQE/upload_H7kWxl-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/jL4YQE/upload_H7kWxl-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","118 Pacific Ave","","Westport","Washington","98595","(503) 702-7520","Mon: 12:00 pm - 6:00 pm  Thu - Sun: 12:00 pm - 6:00 pm","46.8903421","-124.1042894","Y","N","N","Y","micro","Micro Brewery","US","2011","United States","USA","","","","","",""
"iSRnNJ","Westvleteren Abdij St. Sixtus","The Westvleteren Brewery is a Belgian brewery founded in 1838 inside the Trappist Abbey of Saint Sixtus of Westvleteren in the Belgian municipality of Vleteren, not far from the hops-producing town of Poperinge and the medieval city of Ypres. The brewery and its beers are usually referred to as Westvleteren. The brewery's three beers have acquired an international reputation for taste and quality, being considered by a percentage of beer aficionados and judges to be ""the best beer in the world"" (for Wesvleteren XII, a Quadrupel) as well as the limited availability of the beers which are not brewed to normal commercial demands, but are sold in small quantities weekly from the doors of the monastery itself, to individual buyers after reservation only.","http://www.sintsixtus.be/","1831","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Donkerstraat 12","","Westvleteren","West-Vlaanderen","","32-057-40-10-57","","50.8971245","2.7242372","Y","N","N","Y","micro","Micro Brewery","BE","","Belgium","BEL","56","","","","",""
"DqlySI","Wet 'N Reckless Brewing","A nanobrewery that makes awesome interesting beer and provides a nice place to drink it","http://www.wetnreckless.com","","N","https://s3.amazonaws.com/brewerydbapi/brewery/N5X45H/upload_WuzDaZ-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/N5X45H/upload_WuzDaZ-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/N5X45H/upload_WuzDaZ-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","10054 Mesa Ridge Court","Suite 132","San Diego","California","92121","(858) 480-9381","Thu - Fri: 3:30 pm - 10:00 pm  Sat: 2:00 pm - 10:00 pm","32.900476","-117.176061","Y","N","N","Y","nano","Nano Brewery","US","","United States","USA","","","","","",""
"xHL90l","Wet Dog Cafe & Astoria Brewing Company","The Wet Dog Café was founded in 1995. The Brewery was added in 1997 under the name Pacific Rim Brewery. The name of the Brewery was changed to Astoria Brewing Co. in 2005 to commemorate Astoria’s First Brewing Company which was established in 1872. The Wet Dog was named after….the original owners dog…he loved the water and was always WET.    Our Brew Master uses only the finest ingredients to create our exceptional beers. Each beer is handcrafted using a wide range of hops & grains, thus creating unique flavors. It takes approximately 2 weeks for grain, water & hops to become our tasty brews. Our brewery has a 4 barrel system & in 2008 we added two 8 barrel fermenting tanks allowing us to produce over 800 barrels annually.","http://www.wetdogcafe.com/","1997","N","https://s3.amazonaws.com/brewerydbapi/brewery/4q5nSU/upload_FgQ6SC-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/4q5nSU/upload_FgQ6SC-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/4q5nSU/upload_FgQ6SC-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","144 11th St","","Astoria","Oregon","97103","503-325-6975","","46.190165","-123.831405","Y","N","N","Y","brewpub","Brewpub","US","1997","United States","USA","","","","","",""
"diJ77A","Wet Head Brewery","Born from a friendship and chance to drink on the job, Billy Jack and Loren started a journey to make beer for themselves.  What grew out of that was the opportunity to create  something for others.  We quickly realized that our experiments needed to be captured and recreated due to popular demand.  This created a year long journey to acquire the needed  regulatory approval.  In January of 2013, it all became official and we were able to open to the public.  Our dream has shifted a few times but the desire to create something loved and consumed by many hasn't changed.  It has been a wonderful and stressful journey so far and we can't wait to see where it takes us next.","http://wetheadbrewery.com","","N","https://s3.amazonaws.com/brewerydbapi/brewery/Hr6RhV/upload_IqP1pN-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/Hr6RhV/upload_IqP1pN-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/Hr6RhV/upload_IqP1pN-large.png","verified","Verified","2012-01-03 02:41:33","2014-09-23 14:10:55","513 A St. NE","","Auburn","WA","98001","","Fri:  5:00pm - 9:00pm Sat:  4:00pm - 9:00pm  Other days upon request.","47.312622","-122.229023","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","","","",""
"Zb3xAC","Weyerbacher Brewing Company","Established in 1995, Weyerbacher Brewing Company, Inc. was founded in the historic city of Easton, Pennsylvania. We bring artistry, mischief and adventure to the world of brewing so every Weyerbacher beer is an incredible experience.    We, the brewers of Weyerbacher, are continually pushing the envelope of taste experiences, obliterating style guidelines and having a blast while we're at it! Cheers!","http://www.weyerbacher.com/","1995","N","https://s3.amazonaws.com/brewerydbapi/brewery/a57dkm/upload_pnEwv7-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/a57dkm/upload_pnEwv7-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/a57dkm/upload_pnEwv7-large.png","verified","Verified","2012-01-03 02:41:33","2014-09-20 15:01:09","905 Line Street","","Easton","Pennsylvania","18042","(610) 559-5561","Sat:  12:00pm - 3:00pm  ","40.673093","-75.225856","Y","N","N","Y","micro","Micro Brewery","US","1995","United States","USA","","","","","",""
"BumlJd","WH Brakspear & Sons","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","","Henley-on-Thames","Oxford","","","","33.613075","-85.835699","Y","N","N","Y","micro","Micro Brewery","GB","","United Kingdom","GBR","826","","","","",""
"B5jTO7","Whaler's Brewing Company","Bringing locally produced beer (by locally produced people) to Wakefield, RI.","http://www.whalersbrewing.com/","2011","N","https://s3.amazonaws.com/brewerydbapi/brewery/2EpPvi/upload_ksi8DX-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/2EpPvi/upload_ksi8DX-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/2EpPvi/upload_ksi8DX-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1070 Kingstown Road","","Wakefield","Rhode Island","02892","(401) 284-7785","","41.4506823","-71.4958247","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","","","",""
"3L3Ir6","Smithfiled","Brewpub located in Smithfield, VA. Opening fall of 2014.","","2014","N","","","","verified","Verified","2012-01-03 02:41:33","2014-10-14 13:35:33","25 Main St","","Smithfield","Virginia","23430","","","36.982501","-76.630287","Y","Y","N","Y","brewpub","Brewpub","US","2014","United States","USA","","","","","",""
"Uiol9p","Whetstone Station Restaurant and Brewery","Beautiful views, great food and beer in a fun atmosphere on the water. Brattleboro waterfront restaurant. Roof deck and Bier Garten now open! Full restaurant opening soon!","http://www.whetstonestation.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/mBpv9h/upload_NJEN4l-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/mBpv9h/upload_NJEN4l-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/mBpv9h/upload_NJEN4l-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","36 Bridge St","","Brattleboro","Vermont","05301","(802) 490-2354","Mon - Thu:	11:30 am - 10:00 pm  Fri - Sat:	11:30 am - 11:00 pm  Sun:	11:30 am - 10:00 pm","42.8515937","-72.5565434","Y","N","N","Y","brewpub","Brewpub","US","2012","United States","USA","","","","","",""
"QYENcV","Whim Ales","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Hartington","","Buxton","Derby","","44-(01298)-84991","","52.913908","-1.475793","Y","N","N","Y","micro","Micro Brewery","GB","","United Kingdom","GBR","826","","","","",""
"ipLG2T","Whistler Brewing Company","Located in Whistler, British Columbia this brewery has a solid rotation of beers consisting of :  Black Tusk Ale, Whiskey Jack Ale, Bear Paw Honey Lager, Powder Mountain Lager and Lost Lake IPA. As well as frequent seasonal offerings.","http://www.whistlerbeer.com/","1989","N","https://s3.amazonaws.com/brewerydbapi/brewery/j1Gm7l/upload_7UA2CF-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/j1Gm7l/upload_7UA2CF-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/j1Gm7l/upload_7UA2CF-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1045 Milllar Creek Road","","Whistler","British Columbia","V0N1B0","604-962-8889","","50.0879464","-123.0399453","Y","N","N","Y","micro","Micro Brewery","CA","1989","Canada","CAN","124","","","","",""
"2rxBlw","Whitbread Beer Company","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Porter Tun House","","Luton","Bedford","","44-(01582)-391166","","38.86102","-86.489399","Y","N","N","Y","micro","Micro Brewery","GB","","United Kingdom","GBR","826","","","","",""
"fBfzvN","White Birch Brewing","Founded in 2009, White Birch Brewing has been consistently dedicated to the creation of thoughtful, heartfelt ales for the fun loving beer drinker. Providing beers that range from historical, to contemporary, to the avant-garde, each batch of beer is carefully brewed by hand, and left unfiltered for an exceptional depth of flavor.","http://www.whitebirchbrewing.com/","2009","N","https://s3.amazonaws.com/brewerydbapi/brewery/ryrGks/upload_ZbRi2f-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/ryrGks/upload_ZbRi2f-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/ryrGks/upload_ZbRi2f-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1339 Hooksett Road","","Hooksett","New Hampshire","03106","(603) 206-5260","Winter 2014 Hours:  Friday: 12 noon to 6 p.m.  Saturday: 12 noon to 4 p.m.  Sunday – Thursday: CLOSED","43.0584526","-71.4418986","Y","N","N","Y","micro","Micro Brewery","US","2009","United States","USA","","http://whitebirchbrewing.us2.list-manage.com/subscribe?u=96ef4fa96eb8fa2fd0d8acccf&id=c90eb12e67","","","",""
