"id","name","description","established","isOrganic","images__icon","images__medium","images__large","status","statusDisplay","createDate","updateDate","streetAddress","locality","region","postalCode","phone","hoursOfOperation","latitude","longitude","isPrimary","inPlanning","isClosed","openToPublic","locationType","locationTypeDisplay","countryIsoCode","displayName","isoThree","website","numberCode","yearOpened","extendedAddress","mailingListUrl","yearClosed","isoCode"
"JbdvVa","Belford Brewing Company","A one-barrel nano-brewery at Campbell's Junction in the Belford section of Middletown, NJ. Open on Fridays and Saturdays with a well-rounded selection of beers.","2014","N","https://s3.amazonaws.com/brewerydbapi/brewery/oOHh0T/upload_Iup6Vv-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/oOHh0T/upload_Iup6Vv-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/oOHh0T/upload_Iup6Vv-large.png","verified","Verified","2012-01-03 02:41:33","2014-10-30 14:15:25","84 Leonardville Rd","Belford","New Jersey","07718","732-769-7168","Fri:  6:30pm - 8:30pm Sat:  1:00pm - 5:00pm  ","40.4143957","-74.0960986","Y","N","N","Y","nano","Nano Brewery","US","United States","USA","","","","","","",""
"WqVEqj","Belgian Bear Brewery","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","Stonewall","Oklahoma","","","","34.65267","-96.526704","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","","","","",""
"lmJHBw","Belgian Mare Brewing","The Belgian Mare Brewery is currently under construction in East Alstead, New Hampshire. Our opening is projected for the fall of 2013. Please stop by and take a look at what we are doing!","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","207 Gilsum Mine Road","East Alstead","New Hampshire","03602","(603) 504-5370","","43.1124144","-72.2856135","Y","Y","N","Y","micro","Micro Brewery","US","United States","USA","http://www.belgianmare.blogspot.com","","","","","",""
"9AE30A","Belhaven Brewery","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Spott Road","East Lothian","Scotland","","44-(0)1368-862734","","52.158267","-0.896754","Y","N","N","Y","micro","Micro Brewery","GB","United Kingdom","GBR","","826","","","","",""
"lTwr9b","Belize Brewing","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","PO Box 1068","Belize City","","","","","17.495595","-88.181988","Y","N","N","Y","micro","Micro Brewery","BZ","Belize","BLZ","","84","","","","",""
"NnffJ2","Bell's Brewery, Inc.","Bell's Brewery, Inc. began in 1985 with a quest for better beer and a 15 gallon soup kettle. Since then, we've grown into a regional craft brewery that employs more than 200 people over an 20 state area, in addition to Puerto Rico and Washington DC. The dedication to brewing flavorful, unfiltered, quality craft beers that started in 1985 is still with us today. We currently brew over 20 beers for distribution as well as many other small batch beers that are served at our pub in Kalamazoo, the Eccentric Cafe. Our ongoing goal is to brew thoughtfully, creatively and artistically. We strive to bring an authentic and pleasant experience to all of our customers through our unique ales and beers.","1985","N","https://s3.amazonaws.com/brewerydbapi/brewery/noGtDY/upload_t0bnSw-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/noGtDY/upload_t0bnSw-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/noGtDY/upload_t0bnSw-large.png","verified","Verified","2012-01-03 02:41:33","2014-09-25 20:15:04","8938 Krum Ave.","Galesburg","Michigan","49053","269-382-2338","","42.2843486","-85.4538497","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://www.bellsbeer.com/","","1985","","","",""
"uCUre7","Bell's Eccentric Cafe","","","","","","","verified","Verified","2012-01-03 02:41:33","2014-09-25 20:21:54","355 E Kalamazoo Ave","Kalamazoo","Michigan","49007","","Mon:  11:00am - 12:00am Tue:  11:00am - 12:00am Wed:  11:00am - 12:00am Thu:  11:00am - 2:00am Fri:  11:00am - 2:00am Sat:  11:00am - 2:00am Sun:  12:00pm - 12:00am  Our kitchen closes daily at 9 p.m.","42.2949613","-85.5789817","N","N","N","Y","brewpub","Brewpub","US","United States","USA","http://bellsbeer.com/eccentric-cafe/","","1993","","","",""
"Y0IatW","Bell's Eccentric Cafe","","","","","","","deleted","Deleted","2012-01-03 02:41:33","2014-07-25 18:57:02","355 E. Kalamazoo Ave.","Kalamazoo","Michigan","49001","","Mon.-Wed.: 11 a.m.-12 a.m. Thu.-Sat.: 11 a.m.-2 a.m. Sun.: Noon-12 a.m.","42.2949613","-85.5789817","N","N","N","Y","brewpub","Brewpub","US","United States","USA","http://belllsbeer.com","","1993","","","",""
"07OTST","Belle Isle Restaurant and Brewing Co","The Belle Isle Restaurant & Brewery, located in the heart of Northwest Oklahoma City, is a favorite for lunch, dinner and entertainment. Enjoy a menu of pastas, burgers, pizzas, and more. Then there's the Beer! We at the Belle Isle Brewery are proud to create the finest handcrafted beer available, using the best ingredients and strict German Brewing rules. We've developed an excellent selection of beers now available for take out. Our pub features a daily happy hour and live music.","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1900 Northwest Expy","Oklahoma City","Oklahoma","73118","405-840-1911","","35.5222994","-97.5438997","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","http://www.belleislerestaurant.com/","","","#44","","",""
"cR7Hbu","Bellevue Brewing Company","Bellevue's first production brewery specializing in small-batch, handcrafted ales and lagers! We will be utilizing a 20BBL brewhouse with 160BBLs of fermentation capacity.    Although we don't intend to be an organic brewery, we will use organic ingredients whenever possible and, once food service begins, our menu items will feature organic ingredients as well. A children's menu will also be offered.    Our goal is to showcase the wonderful flavors of Washington with local food and brewing ingredients...keeping it local is good business!    We'll also feature a new Washington State wine each month and provide two guest taps for our craft brewing colleagues to showcase their beers.","2010","N","https://s3.amazonaws.com/brewerydbapi/brewery/k6mclO/upload_WIhUbK-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/k6mclO/upload_WIhUbK-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/k6mclO/upload_WIhUbK-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1820 130th Avenue NE","Bellevue","Washington","98005","425-785-0171","","47.626505","-122.167065","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://www.bellevuebrewing.com/","","2010","","","",""
