"id","name","description","website","established","isOrganic","images__icon","images__medium","images__large","status","statusDisplay","createDate","updateDate","streetAddress","locality","region","postalCode","hoursOfOperation","latitude","longitude","isPrimary","inPlanning","isClosed","openToPublic","locationType","locationTypeDisplay","countryIsoCode","yearOpened","displayName","isoThree","phone","extendedAddress","numberCode","yearClosed","mailingListUrl"
"eJ3EsS","Civil Life Brewing Company","We hold these truths to be self-evident: that all men are created equal, with certain unalienable Rights, that among these are Life, Liberty, and the Pursuit of fine crafted ales.     We are a local craft brewery situated in the great Tower Grove South neighborhood. We currently have 8 beers on draft a British Bitter, English Best, American Brown, German Wheat, Scottish Ale, Vienna Lager, Black Lager, Munich Dunkel Lager. We built a very traditional pub inside of an old warehouse. Best yet, our beers can be found around town. Head to our web-site at www.thecivillife.com for a listing. Hope you can enjoy a pint sometime soon and check us out. Cheers!","http://www.thecivillifebrewingcompany.com/Site/Welcome.html","2011","N","https://s3.amazonaws.com/brewerydbapi/brewery/zYnkF4/upload_4Sg3hT-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/zYnkF4/upload_4Sg3hT-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/zYnkF4/upload_4Sg3hT-large.png","verified","Verified","2012-01-03 02:41:33","2014-09-29 20:12:24","3714 Holt Ave","St Louis","Missouri","63116","Tue:  4:00pm - 10:00pm Wed:  4:00pm - 10:00pm Thu:  4:00pm - 10:00pm Fri:  4:00pm - 10:00pm Sat:  12:00pm - 10:00pm  Tue - Fri:4:00 pm - 10:00 pm  Sat:12:00 pm - 10:00 pm","38.590624","-90.257897","Y","N","N","Y","micro","Micro Brewery","US","2011","United States","USA","","","","",""
"Gcm31t","CJ's Brewery & Grill","","","2004","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","8657 Villa La Jolla Drive","La Jolla","California","92037","","32.8665329","-117.231649","Y","N","Y","Y","micro","Micro Brewery","US","2004","United States","USA","","","","",""
"nE0YCy","Plymouth","At CJ's, we're all about the beer. Enjoy our great brews and ales along with a delicious meal.  Watch the brewmaster as he prepares some of the six fresh brews we have on tap daily in the brewing room.  In season, slip out the back door and enjoy your beer and dine on our open air patio. Our menu offers a wide variety of delicious and creative beer- friendly dishes made with the freshest ingredients.","http://cjsbrewingcompany.com/","","N","https://s3.amazonaws.com/brewerydbapi/brewery/5jCLG7/upload_VewwjD-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/5jCLG7/upload_VewwjD-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/5jCLG7/upload_VewwjD-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","14900 Beck Rd","Plymouth","Michigan","48170","","42.389944","-83.507482","Y","N","N","N","brewpub","Brewpub","US","","United States","USA","734-453-4455","","","",""
"vV83PV","Commerce","","http://www.cjsbrewery.com/","","","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","8115 Richardson Road","Commerce Township","Michigan","48382","","42.577443","-83.442637","N","N","N","Y","brewpub","Brewpub","US","","United States","USA","248.366.7979","","","",""
"Wybkax","Claim 52 Brewing","We are a 3 1/2 barrel small-batch craft brewery located in Eugene, Oregon. Our beers are European influenced styles made in the Northwest tradition with the best Northwest ingredients. We focus on quality, flavor, and community.     We love beer, and we love food. And we love what happens when friends get together and enjoy great beer alongside fantastic local food. Our beers will be available at restaurants and bars in the Eugene area that share our philosophy on quality, local ingredients, and community.","","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/CwTbcC/upload_wtCiTz-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/CwTbcC/upload_wtCiTz-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/CwTbcC/upload_wtCiTz-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1030 Tyinn Street","Eugene","Oregon","97402","","44.048916","-123.138321","Y","N","N","Y","micro","Micro Brewery","US","2012","United States","USA","(541) 554-6786","Suite 1","","",""
"5QaO07","Clandestine Brewing","We are passionate about brewing and united in our quest to produce beer of the highest quality.","http://www.clandestinebrewing.com","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/hwEiEq/upload_iLMiM1-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/hwEiEq/upload_iLMiM1-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/hwEiEq/upload_iLMiM1-large.png","verified","Verified","2012-01-03 02:41:33","2014-09-29 20:12:25","1805 Little Orchard St","San Jose","California","95125","Fri:  4:00pm - 9:00pm Sat:  2:00pm - 9:00pm  Fri: 4:00 pm - 9:00 pm  Sat: 2:00 pm - 9:00 pm","37.3058739","-121.873104","Y","N","N","Y","nano","Nano Brewery","US","","United States","USA","(408) 520-0220","Ste 124","","",""
"swUrBK","Claremont Craft Ales","Located in eastern Los Angeles County in a picturesque college town, Claremont Craft Ales is dedicated to bringing premium hand-crafted ales to the local community.  With a focus on freshness and variety, CCA has quickly become a favorite watering hole for a clientele that places a strong value on locally-made authentic products.  As CCA grows into the future, we are excited to bring this beer philosophy to a wider audience.","http://www.claremontcraftales.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/1hCGDj/upload_qM0M96-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/1hCGDj/upload_qM0M96-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/1hCGDj/upload_qM0M96-large.png","verified","Verified","2012-01-03 02:41:33","2014-09-29 20:12:26","1420 N. Claremont Blvd","Claremont","California","91711","Wed:  4:00pm - 8:00pm Thu:  4:00pm - 9:00pm Fri:  4:00pm - 9:00pm Sat:  2:00pm - 9:00pm  Wed: 4:00 pm - 8:00 pm  Thu: 4:00 pm - 9:00 pm  Fri: 4:00 pm - 9:00 pm  Sat: 2:00 pm - 9:00 pm","34.108944","-117.7017463","Y","N","N","Y","micro","Micro Brewery","US","2012","United States","USA","(909) 625-5350","Suite 204C","","",""
"VGDfKl","Clay Pipe Brewing Co","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","95 Carroll St","Westminster","Maryland","21157","","39.5795653","-76.9947592","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","410-871-9333","#203","","",""
"jMGNSh","Clear Creek Brewing Company","We are a small craft brewery located in historic downtown Buffalo, WY at the foot of the Bighorn Mountains.","http://www.ccbrewco.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/d90Lc0/upload_QsLnNn-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/d90Lc0/upload_QsLnNn-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/d90Lc0/upload_QsLnNn-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","48 S. Main","Buffalo","Wyoming","82834","","44.34659","-106.698769","Y","N","N","Y","micro","Micro Brewery","US","2012","United States","USA","","","","",""
"7ZwTUC","Clear Lake Brewing Co","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","612 W 10th Ave N","Clear Lake","Iowa","50428","","43.144771","-93.394533","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","641-424-4694","","","",""
"MDO5n4","Climax Brewing Company","Climax Brewing began as the dream of two home brewers who felt it was time for some good beer. Most of the recipes we use to brew our beer today started out as Dave's own home brewing recipes and all are developed from the style guidelines and are 100% representations of their given style.","http://www.climaxbrewing.com/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-09-29 20:12:26","112 Valley Road","Roselle Park","New Jersey","07204","Mon:  8:00am - 5:00pm Tue:  8:00am - 5:00pm Wed:  8:00am - 5:00pm Thu:  8:00am - 5:00pm Fri:  8:00am - 5:00pm  Monday - Friday: 8am - 5pm","40.659725","-74.283004","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","908-620-9585","","","",""
