"id","name","description","website","established","isOrganic","images__icon","images__medium","images__large","status","statusDisplay","createDate","updateDate","streetAddress","locality","region","postalCode","phone","latitude","longitude","isPrimary","inPlanning","isClosed","openToPublic","locationType","locationTypeDisplay","countryIsoCode","yearOpened","displayName","isoThree","numberCode","hoursOfOperation","extendedAddress","mailingListUrl","yearClosed"
"CmhU4n","F&M Brewery","Founded in 1997, F&M is a rennaissance brewer of premium ales and lagers. Brewed under the brand name Stonehammer, after our flagship pilsner lager we offer three main brands, two seasonal beers, and contract brew the Maclean's Pale Ale.","http://www.stonehammer.ca/","1997","N","https://s3.amazonaws.com/brewerydbapi/brewery/U27WCC/upload_73qhmp-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/U27WCC/upload_73qhmp-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/U27WCC/upload_73qhmp-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","355 Emira Road North","Guelph","Ontario","N1K 1S5","877-316-2337","43.534044","-80.305638","Y","N","N","Y","micro","Micro Brewery","CA","1997","Canada","CAN","124","","","",""
"p6QIEE","F.U. Brew Company","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","Kendall Park","New Jersey","08824","","40.4209391","-74.560711","Y","Y","N","Y","micro","Micro Brewery","US","","United States","USA","","","","",""
"RQ96Nf","F.X. Matt Brewing Company","F.X. Matt Brewing Company is an American family-owned brewery at the foothills of the Adirondack Mountains in Utica, New York. It is the fourth oldest family-owned brewery in the United States after D. G. Yuengling & Son (1829), August Schell Brewing Company (1860), and Straub Brewery Inc. (1872). Its most popular product is the Saranac line of beers, although soft drinks such at Root Beer and Ginger Beer are also produced by the company.","http://www.saranac.com/","1888","N","https://s3.amazonaws.com/brewerydbapi/brewery/Qs29uy/upload_lulidE-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/Qs29uy/upload_lulidE-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/Qs29uy/upload_lulidE-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","811 Edward Street","Utica","New York","13502","800-690-3181-x222","43.104492","-75.245249","Y","N","N","Y","micro","Micro Brewery","US","1888","United States","USA","","","","",""
"ZCj8Eu","Faction Brewing","","http://factionbrewing.com","","N","https://s3.amazonaws.com/brewerydbapi/brewery/KlD21K/upload_tFD1c6-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/KlD21K/upload_tFD1c6-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/KlD21K/upload_tFD1c6-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","2501 Monarch St.","Alameda","California","94501","(510) 523-2739","37.7872324","-122.3082938","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","Wed-Sat 12-7   Sun 12-5","","",""
"lXWKH0","Factotum Brewhouse","Mission Statement: Factotum Brewhouse assists homebrewers in creating a highly-drinkable product by providing professional brewing equipment, guidance and education, and a beer-loving community defined by mutual support, unbiased opinion, and a philosophy that anybody can brew.    Who we are: We are a sibling-owned brewhouse in the Sunnyside neighborhood of Denver. Our German-American upbringing has instilled in us a passion for beer and our background as professional educators compels us to impart our brewing knowledge to the community.    The brewhouse: Factotum Brewhouse is a brewery for the people, by the people. The drinks you enjoy in our taproom were conceived and created by homebrewers and other beer lovers under the tutelage of our head brewer in an effort to guide and teach our customers in the art of making great beer. Drink a beer, make a beer—at Factotum Brewhouse, the choice is yours.     Twitter: @FactotumBrew   4735 Lipan Street, Denver, Colorado 80211","http://www.factotumbrewhouse.com","2013","N","https://s3.amazonaws.com/brewerydbapi/brewery/O3AeVj/upload_dIkXWx-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/O3AeVj/upload_dIkXWx-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/O3AeVj/upload_dIkXWx-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","Denver","Colorado","80211","(720) 441-4735","39.7698122","-105.0148322","Y","Y","N","Y","micro","Micro Brewery","US","2013","United States","USA","","","","",""
"GXHQte","Fair State Brewing Cooperative","Fair State Brewing Cooperative will brew beer with a focus on quality, community, and cooperation.    Our cooperative will focus on sustainable business practices that empower employees as part of the broader brewing community to produce the finest beer without compromise.","http://www.fairstate.coop","2013","N","https://s3.amazonaws.com/brewerydbapi/brewery/duEdCS/upload_EicUYa-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/duEdCS/upload_EicUYa-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/duEdCS/upload_EicUYa-large.png","verified","Verified","2012-01-03 02:41:33","2014-09-13 12:39:18","2506 Central Ave NE","Minneapolis","Minnesota","55418","(612) 293-5231","45.0135573","-93.2477591","Y","N","N","Y","micro","Micro Brewery","US","2013","United States","USA","","","","",""
"Jgekt7","Fairhope Brewing Company","The Fairhope Brewing Company will serve the craft beer needs of Lower Alabama by operating a taproom in the brewery and selling our beer throughout Baldwin and Mobile counties.","http://www.fairhopebrewing.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/iNQxzm/upload_cRKBaM-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/iNQxzm/upload_cRKBaM-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/iNQxzm/upload_cRKBaM-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","914 Nichols Avenue","Fairhope","Alabama","36532","","30.516367","-87.884994","Y","N","N","Y","micro","Micro Brewery","US","2012","United States","USA","","Thursday-Saturday 5:30-8:30pm","","",""
"kIEM5y","Fairport Brewing Company","We're a small brewery providing hand-crafted beer in small batches. We sell our variety of beer in growlers from our brewery in Fairport, NY.    We're located in the business park at 1000 Turk Hill Road, right on the historic Erie Canal. After you enter the business park, drive past the buildings and park in the lot in the back. Walk back between the buildings, and look for Building 8 on the right. Use the “Classroom Entrance” and take the stairs or elevator on your left. You’ll find us on the second floor down the hall and to the right.","http://fairportbrewing.com/","2010","N","https://s3.amazonaws.com/brewerydbapi/brewery/QG6D7D/upload_sxxT7h-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/QG6D7D/upload_sxxT7h-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/QG6D7D/upload_sxxT7h-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1000 Turk Hill","Fairport","New York","14450","(585) 678-6728","43.0952544","-77.4311364","Y","N","N","Y","nano","Nano Brewery","US","2010","United States","USA","","Fri: 4:00 pm - 7:00 pm  Sat: 1:00 pm - 6:00 pm","Suite 298","",""
"3jruX6","Falcon Brewing Co","","http://www.falconbrewingco.com/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","19751 E Main St","Parker","Colorado","80138","303-805-1133","39.5184678","-104.7601785","Y","N","Y","Y","brewpub","Brewpub","US","","United States","USA","","","Suite R1","",""
"0UHw7d","Fall River Brewing Company","At Fall River Brewing Company, we create handcrafted ales and lagers. We brew our beer on a small 1/2 barrel system which allows us to put our personal touch into every pint. We hope you enjoy our beer as much as we enjoy brewing it for you. Cheers!","http://fallriverbrewing.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/OMUe3U/upload_jVMBHI-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/OMUe3U/upload_jVMBHI-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/OMUe3U/upload_jVMBHI-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1030 East Cypress Avenue","Redding","California","96002","(530) 605-0230","40.571368","-122.351151","Y","N","N","Y","micro","Micro Brewery","US","2012","United States","USA","","Mon - Thu: 3:00 pm - 10:00 pm  Fri - Sat: 12:00 pm - 12:00 am  Sun: 12:00 pm - 8:00 pm","Suite D","",""
"2fXsvw","Fallbrook Brewing Company Inc","Fallbrook Brewing Company is a small craft brewery in the ‘Friendly Village’ of Fallbrook. FBC prides ourselves on brewing, serving and living the craft beer movement. Our nano brewery includes a tasting room to serve those who are looking for a delicious and local handcrafted beer. FBC caters to the craft beer enthusiast as well as the novice converts. Our small four barrel brewing system allows us to be creative and offer our customers an amazing array of staple beers and variety of specialty offerings.    FBC will strive to utilize local ingredients whenever possible and is looking forward to having a positive impact on our local community.    Cheers!","http://fallbrookbrewing.com/","","N","https://s3.amazonaws.com/brewerydbapi/brewery/BuIyYv/upload_Of68yJ-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/BuIyYv/upload_Of68yJ-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/BuIyYv/upload_Of68yJ-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","136 N Main Ave","Fallbrook","California","92028","","33.3827003","-117.2515165","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","Thu: 4:00 pm - 8:00 pm  Fri: 3:00 pm - 9:00 pm  Sat: 12:00 pm - 9:00 pm  Sun: 12:00 pm - 5:00 pm","","",""
"kw4ADx","Fallen Brewing","","","","N","","","","new_unverified","New, Unverified","2014-11-01 18:12:36","2014-11-01 18:12:36","","","","","","","","","","","","","","","","","","","","","",""
"g3aigX","Falling Down Beer Company","Falling Down Beer Company (FDBC) is the newest craft brewery in the state of Michigan. Continuing the tradition of Michigan and Craft brewers before us, we will create unique hand crafted Ales and Lagers, that will challenge expectations and ideas of what great beer really is. With a focus on premium quality, handmade Ales and Lagers, FDBC will present a new unique product to the Detroit area.    Made in Michigan and the U.S.A.    One of the missions of FDBC is to create jobs and spur the economy in Michigan and the U.S. in general. At opening we plan to have 18 positions available with that number doubling year to year. Our long term goal is a bottling factory and additional restaurants that will employee hundreds of local workers.    Keeping with our philosophy of locally sourced goods and services, we will purchase from local companies whenever possible. On the food side this includes local fish markets, meat markets and bakeries; and on the brewery side designing beers that will be made using Michigan grown hops and malt. And it doesn’t stop there! We are actively negotiating and designing the brew house, promotional materials, general construction and website operations with Michigan companies.    Where it is not possible to source a product or service locally or in the State of Michigan, we will be looking first to keep our business in the Mid-West and then United States. We call this an inside-out sourcing philosophy. First source at the city level and slowly work out by county, state, region and country. We feel this benefits everyone in this endeavor where we support the community that is supporting us. A Win-Win for everyone!    It’s All About the Beer!    We are going to be creating quality; handcrafted beers that we believe will be some of the best beer you have ever tried. We are also going to push the envelope and make beers with unique and far-out ingredients that will invite you to be different and maybe live a little on the edge. We already have over 20 recipes waiting for people to try and enjoy.","http://www.fallingdownbeer.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/vPPBkD/upload_lRrxDz-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/vPPBkD/upload_lRrxDz-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/vPPBkD/upload_lRrxDz-large.png","verified","Verified","2012-01-03 02:41:33","2014-09-07 17:53:05","2270 East 10 Mile Road","Warren","Michigan","48091","586-799-BREW","42.475464","-83.079752","Y","N","N","Y","micro","Micro Brewery","US","2012","United States","USA","","","","",""
