"id","name","website","isOrganic","status","statusDisplay","createDate","updateDate","streetAddress","locality","region","postalCode","phone","latitude","longitude","isPrimary","inPlanning","isClosed","openToPublic","locationType","locationTypeDisplay","countryIsoCode","displayName","isoThree","description","numberCode","established","images__icon","images__medium","images__large","hoursOfOperation","extendedAddress","yearOpened","yearClosed","mailingListUrl","isoCode"
"OttYEQ","Harrison's Brewing Company","http://www.harrisonsbrewpub.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","15845 South LaGrange Road","Orland Park","Illinois","60462","708-226-0100","41.603241","-87.8527659","Y","N","Y","N","brewpub","Brewpub","US","United States","USA","","","","","","","","","","","",""
"t7SnlC","Main Office","http://hartfordbetterbeer.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","Hartford","Connecticut","","","41.7637111","-72.6850932","Y","N","N","N","office","Office","US","United States","USA","Is a contract brewery operation at present.    Leveraged off of the previous operation of Connecticut's first brewpub, The Hartford Brewery Ltd.    Some of the recipes from the previous operation are showcased in our current portfolio.  Others are new recipes created by our former brewing team.    Our beers are currently being brewed at Shipyard Brewery in Portland Maine, using our explicit recipe design and oversight.    Our mission is to continually improve sales of our brands to facilitate the growth of additional brands and with a future in mind that may lead to a new brewery in the region to support our brand lines.","","","","","","","","","","",""
"3SvZ4H","Hartinger Meisterbräu","http://www.hartinger-meisterbraeu.de/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Waldkaterallee 27","Rinteln","","31737","","52.209052","9.083271","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","","276","","","","","","","","","",""
"rqz0Xh","Härtsfelder Familienbrauerei Hald","http://www.haertsfelder.de/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Hofener Str. 19","Dischingen-Dunstelkingen","Baden-Württemberg","89561","","48.720947","10.413478","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","","276","1664","","","","","","","","",""
"tSSP68","Hartwall Helsinki Panimo","http://www.hartwall.fi/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Korsäkersvägen 4","","Helsinki","","+358-9-540 2528","60.1733244","24.9410248","Y","N","N","Y","micro","Micro Brewery","FI","Finland","FIN","","246","","","","","","","","","",""
"1DcMNr","Harvest Moon Brewery and Cafe","http://harvestmoonbrewery.com/","N","verified","Verified","2012-01-03 02:41:33","2014-09-26 13:26:56","392 George Street","New Brunswick","New Jersey","08901","732-249-6666","40.4961868","-74.4442757","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","","","","https://s3.amazonaws.com/brewerydbapi/brewery/4JeSmy/upload_qtnimD-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/4JeSmy/upload_qtnimD-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/4JeSmy/upload_qtnimD-large.png","Monday - Wednesday  Lunch 11:30-5:00 pm  Dinner 5:00-10:00 pm  Late Nite Menu 10:00-11:00 pm    Thursday - Saturday  Lunch 11:30-5:00 pm  Dinner 5:00-11:00 pm  Late Nite Menu 11:00-Midnight    Sunday  Lunch 11:30-4:00 pm  Dinner 4:00-9:00 pm  Late Nite Menu 9:00-10:00 pm","","","","",""
"fLvuDU","","","","deleted","Deleted","2012-01-03 02:41:33","2014-07-23 19:11:34","","","Nordrhein-Westfalen","","","51.503106","7.497394","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","","276","","","","","","","","","",""
"dXLAXI","Harvest Moon Brewing","http://www.harvestmoonbrew.com/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","5th St S","Belt","Montana","59412","406-277-3188","47.384784","-110.9283","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","","","","","","PO Box 5107","","","",""
"Fr3ygj","Harvey & Son (Lewes)","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","6 Cliffe High Street","Lewes","East Sussex","","44-(01273)-480209","50.8741801","0.0166534","Y","N","N","Y","micro","Micro Brewery","GB","United Kingdom","GBR","","826","","","","","","","","","",""
"sAmmqA","Harviestoun Brewery","http://www.harviestoun-brewery.co.uk/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Hillfoots Business Village","Alva Industrial Estate Alva, Central","Scotland","FK12 5DQ","44-(01259)-769100","56.15306","-3.798604","Y","N","N","Y","micro","Micro Brewery","GB","United Kingdom","GBR","The brewery was founded in 1984 by Ken Brooker on a farm just outside Dollar in Central Scotland. Due to the growing success and demand for Harviestoun Ales, the brewery moved to a new purpose built 60 barrel plant, 5 miles away in Alva, in 2004. Alva was chosen as the location as this allowed us to carry on using the outstanding soft water from the Ochil Hills.    Harviestoun Brewery was later bought by Caledonian Brewery in 2006. However, in the wake of the acquisition of Caledonian brewing Company by Scottish & Newcastle UK, the brewery became independent once again in 2008 by three noble shareholders who sought to preserve the status as an independent award-winning micro-brewery.     Currently, Harviestoun is going through some new and exciting changes to expand the brewery. We are working hard to increase production, while insuring that we still outputting nothing but quality beer. Please look forward to keeping up to date with us on our progress and exciting new changes to our product range.","826","1983","https://s3.amazonaws.com/brewerydbapi/brewery/Ix655q/upload_1f95X0-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/Ix655q/upload_1f95X0-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/Ix655q/upload_1f95X0-large.png","","","1985","","",""
"UUVazb","Haskell Brewing, LLC","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","Haskell","New Jersey","","","41.029055","-74.296833","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","","","","","","","","","",""
"I6NBN9","Hasseröder","http://hasseroeder.de/","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Auerhahnring 1","Wernigerode","","38855","49-(0)3943-/-9360","51.845715","10.755037","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","","276","1872","","","","","","","","",""
"LqF5uF","Headquarter","http://www.hauff-braeu.com","Y","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Marktplatz 1","Lichtenau","","91586","","51.71356","8.93372","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","","276","1493","","","","","","","","",""
