"id","name","isOrganic","status","statusDisplay","createDate","updateDate","streetAddress","extendedAddress","locality","region","postalCode","latitude","longitude","isPrimary","inPlanning","isClosed","openToPublic","locationType","locationTypeDisplay","countryIsoCode","displayName","isoThree","website","established","phone","numberCode","images__icon","images__medium","images__large","description","hoursOfOperation","yearOpened","mailingListUrl","isoCode","yearClosed"
"Gn1xK0","Kortegast & Co","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1001 SW Klickitat Way","#102","Seattle","Washington","98134","47.5702","-122.346668","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","","","","","","","","","","",""
"t6klTR","Köstritzer Schwarzbierbrauerei GmbH","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Heinrich-Schütz-Straße 16","","Bad Köstritz","","D-07586","50.930218","12.011235","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","http://www.koestritzer.de","1543","49-(0)36605-/-83-0","276","","","","","","","","",""
"YsDJeg","Köthener Brauerei","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Gnetscher Straße 10","","Köthen","","06366","","","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","http://www.koethener-brauerei.de/","1861","","276","","","","","","","","",""
"jb3KNd","Kozy Yak Brewery","N","verified","Verified","2012-01-03 02:41:33","2014-10-21 14:46:31","197 N. Main Street","","Rosholt","Wisconsin","54473","44.6293","-89.3094","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://www.kozyyak.com/","2012","(715) 677-3082","","https://s3.amazonaws.com/brewerydbapi/brewery/lvNMRa/upload_o92MX1-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/lvNMRa/upload_o92MX1-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/lvNMRa/upload_o92MX1-large.png","","","","","",""
"VQTZcs","Krash Brewery","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","","Riverside","California","92504","33.923232","-117.405436","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://www.krashbrewery.com/","","951-689-2399","","https://s3.amazonaws.com/brewerydbapi/brewery/SD2zlI/upload_48QT4q-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/SD2zlI/upload_48QT4q-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/SD2zlI/upload_48QT4q-large.png","KrashBrewery was created to make the best beer in the World.","","","","",""
"7kCNmJ","Krebs Brewing Co","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","120 SW Eighth St","PO Box 66","Krebs","Oklahoma","74554","34.927665","-95.716059","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://www.petes.org/","","918-423-2042","","","","","","","","","",""
"k3vBvk","Kreuz Creek Brewing Co.","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","12600 Exchange Dr","#220","Stafford","Texas","77477","29.6345049","-95.5929781","Y","N","Y","Y","micro","Micro Brewery","US","United States","USA","http://www.kreuzcreek.com/","","713-206-2514","","","","","","","","","",""
"MNe05B","Krogh's Restaurant and Brewpub","N","verified","Verified","2012-01-03 02:41:33","2014-09-26 13:32:38","23 White Deer Plaza","","Sparta","New Jersey","07871","41.032711","-74.639725","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","http://www.kroghs.com/","","973-729-8428","","https://s3.amazonaws.com/brewerydbapi/brewery/zqvukM/upload_lXTsBj-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/zqvukM/upload_lXTsBj-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/zqvukM/upload_lXTsBj-large.png","The area where Krogh's Restaurant & Brew Pub now stands was a beautiful meadow with a meandering stream until the early 1920's. By the end of the decade, the dream had been fulfilled, the dam was built and Lake Mohawk was formed.","Mon - Sat: 11:30 am - 10:00 pm  Sun: 12:00 pm - 9:00 pm","","","",""
"yhMoEc","Krombacher Gruppe","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Hagener Straße 261","","Kreuztal-Krombach,","North Rhine-Westphalia","57223","50.99106","7.95535","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","http://www.krombacher.de/","1803","(2732) 880 380","276","https://s3.amazonaws.com/brewerydbapi/brewery/AP2EQU/upload_zrUQP7-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/AP2EQU/upload_zrUQP7-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/AP2EQU/upload_zrUQP7-large.png","The brewery was founded on 4 February 1803 by John Haas. His father, Johann Eberhard Haas chatted in Krombach an inn. As for a Regulation of 25 July 1618 serving of beer was only allowed if the restaurant also had its own brewery and a malt kiln, John Haas set up a brewery in the family business.     The water for the brewery (""Hasbrauerei"") they picked first in barrels from a spring at the foot of the Grumbergs in the west of the village by bullock carts to brewery. 1854 had a brewery owner Haas church annual 17 Gulden (Florin) pay rent that the water pipeline was conducted on church land to the village.","","","","",""
"UfxKKB","","","deleted","Deleted","2012-01-03 02:41:33","2014-07-23 19:11:34","","","","Nordrhein-Westfalen","","51.503106","7.497394","N","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","","","","276","","","","","","","","",""
