"id","name","description","isOrganic","status","statusDisplay","createDate","updateDate","locality","region","postalCode","phone","latitude","longitude","isPrimary","inPlanning","isClosed","openToPublic","locationType","locationTypeDisplay","countryIsoCode","displayName","isoThree","website","established","images__icon","images__medium","images__large","streetAddress","numberCode","yearOpened","hoursOfOperation","extendedAddress","yearClosed","mailingListUrl","isoCode"
"gDqcye","Monte Carlo Casino and Brewpub","(No longer brewing)","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Las Vegas","Nevada","89109","1-702-730-7438","36.120085","-115.166039","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","","","","","","","","","","",""
"IXZR85","Monteith's Brewing Co","Monteith’s has been crafting its family of fine beers for nigh on 150 years, staying true to the authentic process and recipes of the classic beer styles we re-create. Renowned the world over, Monteith’s continues to produce beers that are made to exacting standards and capture the spirit of the world’s most famous beers and, in some cases, forgotten favourites, that are all but forgotten.","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Greymouth","West Coast","","+64 (0)3 768 4149","-42.4531426","171.2069836","Y","N","N","Y","micro","Micro Brewery","NZ","New Zealand","NZL","http://www.monteiths.com/nz/","1868","https://s3.amazonaws.com/brewerydbapi/brewery/UFie4f/upload_bERMU8-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/UFie4f/upload_bERMU8-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/UFie4f/upload_bERMU8-large.png","Cnr Turumaha & Herbert Streets","554","","","","","",""
"urIFHW","Monterey Coast Brewing","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Salinas","California","93901","831-772-9664","36.659625","-121.653368","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","http://www.montereybrewing.com/","","","","","100 San Juan Dr","","","","","","",""
"6d0vLV","Moo Brew","The Moo Brew brewery was installed at MONA, then Moorilla Estate, in 2005. In June of that year the first keg was sold and went on tap at T42° on Hobart’s waterfront. In 2010 Moo Brew expanded and opened a second brewery site 10 minutes up the road in Bridgewater, Tasmania. Due to continued expansion all brewery operations are now carried out at this secondary site.","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Bridgewater","Tasmania","7030","+61 3 6263 7773","-42.7342966","147.2474967","Y","N","N","Y","micro","Micro Brewery","AU","Australia","AUS","http://www.moobrew.com.au","2005","https://s3.amazonaws.com/brewerydbapi/brewery/R306Uq/upload_bhflPX-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/R306Uq/upload_bhflPX-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/R306Uq/upload_bhflPX-large.png","76a Cove Hill Road","36","","","","","",""
"aS16Pw","Moo-Duck Brewery","Our mission is also our slogan: Celebrating Beer Moo-Duck Style.     Moo-Duck Style is HANDCRAFTING beer in small batches, allowing us to serve the freshest beer possible.    Moo-Duck Style is using the HIGHEST QUALITY ingredients possible.    Moo-Duck Style is respecting the traditional beer styles while embracing NON-TRADITIONAL brewing ingredients.    Moo-Duck Style is buying LOCAL ingredients whenever possible while supporting the local community through charity brews.    Moo-Duck Style is expressing our creativity throughout the brewing process to craft a beer that is INTERESTING and DELICIOUS.    Moo-Duck Style is promoting the RESPONSIBLE enjoyment of craft beer in a casual setting.    Moo-Duck Style is passionately wrapping our hands around our work to serve a beer we are PROUD of.","N","verified","Verified","2012-01-03 02:41:33","2014-08-25 11:58:18","Elizabethtown","Pennsylvania","17022","","40.147287","-76.61164","Y","Y","N","Y","nano","Nano Brewery","US","United States","USA","http://www.mooduckbrewery.com","2013","https://s3.amazonaws.com/brewerydbapi/brewery/Nde0Xy/upload_AecW1x-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/Nde0Xy/upload_AecW1x-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/Nde0Xy/upload_AecW1x-large.png","79 S Wilson Ave","","","","","","",""
"0X9MxH","Moody Tongue Brewing Company","Founded in 2013 by acclaimed brewmaster Jared Rouben, Moody Tongue Brewery is located in Chicago’s Pilsen neighborhood. At Moody Tongue, Rouben features ‘culinary brewing,’ an original approach that utilizes cooking methods alongside exceptional seasonal ingredients to produce sexy, clean, balanced beers in popular styles.","N","verified","Verified","2012-01-03 02:41:33","2014-09-11 10:33:06","Chicago","Illinois","60608","(312) 600-5111","41.8529217","-87.648154","Y","N","N","N","micro","Micro Brewery","US","United States","USA","http://moodytongue.com/","2013","https://s3.amazonaws.com/brewerydbapi/brewery/9luSaG/upload_MRVOik-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/9luSaG/upload_MRVOik-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/9luSaG/upload_MRVOik-large.png","2136 South Peoria Street","","2013","","","","",""
"XB13Qx","Moon River Brewing Company","The Moon River Brewing Company is founded on our obsession with creating the ideal restaurant and brewery experience. Striving for this ideal, we are committed to providing three basic services. We are dedicated, first and foremost, to providing you with a comfortable and relaxing environment with prompt and cheerful service. Secondly, we are committed to serving you a delicious variety of freshly prepared foods. Our kitchen is a boiling pot of diversity, offering a range of dishes from simple comfort food to eclectic gourmet cuisine. Finally, we are undeniably passionate about serving great beer.","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Savannah","Georgia","31401","912.447.0943","32.0809761","-81.0915086","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://www.moonriverbrewing.com/","1999","https://s3.amazonaws.com/brewerydbapi/brewery/6ZRSE6/upload_GPd2td-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/6ZRSE6/upload_GPd2td-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/6ZRSE6/upload_GPd2td-large.png","21 W. Bay St.","","1999","","","","",""
"XnBFll","Moon Under Water","The Moon is a true “beer bar”, which means a selection of only the finest brews, paired with food designed for every taste and even serving the beers in new glassware appropriate to the style of beer.     The new Moon beers can be described as ‘German-fusion’ and are Brewmaster Clay’s West-coast interpretation of traditional German styles. All beers are 100% natural, unfiltered and naturally carbonated. Guest beers are handpicked to showcase some of the best Craft Beers in British Columbia and served alongside the house brewed beers.","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Victoria","British Columbia","V8T 1P7","250-380-0706","48.4349801","-123.3751019","Y","N","N","Y","brewpub","Brewpub","CA","Canada","CAN","http://moonunderwater.ca","2010","https://s3.amazonaws.com/brewerydbapi/brewery/q4luwR/upload_joMFH9-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/q4luwR/upload_joMFH9-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/q4luwR/upload_joMFH9-large.png","350B Bay Street","124","2010","Monday: Closed  Tuesday: Closed   Wednesday: 11:30 - 11:00  Thursday: 11:30 - 11:00  Friday: 11:30 - 12:00  Saturday: 11:30 - 12:00  Sunday: 11:30 - 8:00","","","",""
"9UjraO","Moonlight Brewing Company","Moonlight Brewery was started in rural Santa Rosa in 1992 by Brian Hunt. Small by most all comparisons, the brewery has capacity for about 1000 barrels per year. Whereas the original brewery was in a converted tractor barn, today it is in a building built in 2003 for this brewery. Currently all the beers are only sold in kegs and can be found in San Francisco, the East Bay and North Bay counties. Mendocino and Lake Counties have a few spots, and there are rare sightings in Santa Cruz, Seal Beach, and San Diego.","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Fulton","California","95439","1-707-528-2537","38.494556","-122.772619","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://www.moonlightbrewing.com/","1992","https://s3.amazonaws.com/brewerydbapi/brewery/itAGNX/upload_Uibbxu-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/itAGNX/upload_Uibbxu-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/itAGNX/upload_Uibbxu-large.png","PO Box 316","","","","","","",""
"loSfjp","Moonlight Meadery","It all started back in 1995, when Michael tried a cyser (apple and honey mead) for the first time.  Since that first sip Michael has developed a passion, and a masterful skill at making international award winning meads. Michael Fairbrother has started Moonlight Meadery™, with a mission to bring ultra premium meads to the market place.  It is more than a product and it is more than a process, it's our obsession.    ""Mead to me is passion, it's about living and love, it's about enjoyment, family and friends, and sharing."" says Michael Fairbrother, Founder and Mead Maker.     Our meads will be unique, and unlike anything you have ever tried, you will find it incredible!   We are going to embrace the unique nature of natural honey as minimally processed as possible.","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Londonderry","New Hampshire","03053","603-234-9582","42.8794544","-71.3427019","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","http://www.moonlightmeadery.com/","2010","https://s3.amazonaws.com/brewerydbapi/brewery/hObYWr/upload_fFu9Of-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/hObYWr/upload_fFu9Of-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/hObYWr/upload_fFu9Of-large.png","23 Londonderry Rd","","2010","Mon - Tue: 11:00 am - 5:00 pm  Wed - Sat: 11:00 am - 7:00 pm  Sun: 11:00 am - 5:00 pm","Unit 17","","",""
