"id","name","description","website","established","isOrganic","images__icon","images__medium","images__large","status","statusDisplay","createDate","updateDate","streetAddress","locality","region","postalCode","phone","hoursOfOperation","latitude","longitude","isPrimary","inPlanning","isClosed","openToPublic","locationType","locationTypeDisplay","countryIsoCode","yearOpened","displayName","isoThree","numberCode","extendedAddress","yearClosed","mailingListUrl"
"KNLzqk","Pints Urban Taproom","PINTS Brewing Company opened in 2012 as Oldtown/Chinatown’s first brewery since Henry Saxer’s original Liberty Brewing Co. opened in 1852. PINTS Brewing Co. is dedicated towards old school Northwest and British inspired ales using the best quality base and specialty malts along with Oregon grown hops. Brewed in small 3.5 barrel batches, our beers are designed to be complex, yet focused, and ultimately beg another pint.","http://www.pintsbrewing.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/DeqSN0/upload_qyemLL-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/DeqSN0/upload_qyemLL-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/DeqSN0/upload_qyemLL-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","412 NW 5th Ave","Portland","Oregon","97209","(503) 564-BREW","Happy Hour: Mon - Sat  3pm - 6pm, Sun 12pm - 9pm  Lunch: Mon - Sat  11:30am - 3pm  Dinner: Mon - Sat  3pm - 11pm, Sun 12pm - 9pm","45.526197","-122.675212","Y","N","N","Y","brewpub","Brewpub","US","2012","United States","USA","","","",""
"KI6uwA","Pioneer Brewing Company","","http://hylandbrew.com/","1997","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","195 Arnold Road","Fiskdale","Massachusetts","01566","508-347-7500","","42.1415","-72.1105","Y","N","N","Y","micro","Micro Brewery","US","2004","United States","USA","","","",""
"wbpj5b","Pipeworks Brewing Company","Pipeworks began, as many breweries do, in the stove top kettles and plastic-bucket fermenters of the home brewer. Beejay Oslon and Gerrit Lewis met while working at Chicago's famous West Lakeview Liquors, a haven for beer geeks in search of new and exciting brews from around the world. While working there, the two got to thinking it was time to turn their passion in to a business.     The first steps in that long journey  took them to a the small town of Lo in the Belgian countryside. It was there that the Pipeworks boys lived and worked with Urbain Coutteau owner and brewer at the De Struise Brewery. While working there the boys honed their craft, learned the ins and outs of running a brewery, and had the opportunity to create their first commercially available beers. The success of these brews fueled their passion and prepared them for the work ahead of them.     Upon coming back to the States the two began experimenting with pilot batches, formulating a business plan, and developing an image for Pipeworks.     Now we are ready to bring what we've learned to the craft beer world!","http://www.pipeworksbrewing.com/","2009","N","https://s3.amazonaws.com/brewerydbapi/brewery/fz3g3i/upload_CymH7H-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/fz3g3i/upload_CymH7H-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/fz3g3i/upload_CymH7H-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1675 N Western Ave","Chicago","Illinois","60647","773-725-9428","","41.912447","-87.686905","Y","N","N","Y","micro","Micro Brewery","US","2009","United States","USA","","","",""
"YvYXF2","Pirata Brewing Corp","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","6864 Carr 4484","Quebradillas","","","787-295-0971","","18.4742","-66.939049","Y","N","N","Y","micro","Micro Brewery","PR","","Puerto Rico","PRI","630","","",""
"BFHLOT","Pisgah Brewing Company","Pisgah Brewing Company is located in Black Mountain, NC about 10 miles east of Asheville. We specialize in brewing hand crafted certified organic beer. Please browse around to learn about our beer, where to find it and what it means to be certified organic.","http://pisgahbrewing.com/","2004","Y","https://s3.amazonaws.com/brewerydbapi/brewery/2qlMjT/upload_3rtr1X-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/2qlMjT/upload_3rtr1X-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/2qlMjT/upload_3rtr1X-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","150 Eastside Dr","Black Mountain","North Carolina","28711","828-669-0190","Mon, Tues, & Wed:  4pm â€“ 9pm  Thurs, Fri, & Sat:  2pm â€“ 12am (generally)  Sun:  2pm â€“ 9pm    Brewery Tours:  Saturdays @ 2pm & 3pm","35.608487","-82.361055","Y","N","N","Y","micro","Micro Brewery","US","2004","United States","USA","","","",""
"nZ09Xu","Pismo Brewing Company","Come be part of Pismo Beach's first microbrewery. We have six custom crafted beers on tap at all times, brewed daily on site from only the freshest and finest selected grains and hops.","http://www.pismobrew.com/","","N","https://s3.amazonaws.com/brewerydbapi/brewery/DM0FZx/upload_J082fr-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/DM0FZx/upload_J082fr-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/DM0FZx/upload_J082fr-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","361 Pomeroy Ave","San Luis Obispo","California","93449","805-295-6200","","35.141545","-120.640492","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","Pismo Beach","",""
"PsixhL","Pitchers Brewery","At Pitcher's Brewery we proudly serve handcrafted ales using the finest grains, hops, yeast and water to produce a quality product. Our original fresh craft brews contain influences from Belgium, Canada, English, German as well as America.","http://www.pitchersbrewery.com/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1100 W. Drake Road","Fort Collins","Colorado","80526","970-493-5374","","40.553035","-105.097401","Y","N","N","Y","brewpub","Brewpub","US","","United States","USA","","","",""
"Lum8X4","Pitchfork Brewing Company","Pitchfork Brewing is Hudson's newest brewery. We will be making outstanding craft beers with a focus on high quality, locally sourced ingredients and an environmentally friendly business model. Our taproom will feature a variety of beers on tap as well as specialty firkins. In addition to stopping by for a pint or two, grab a bite at Paddy Ryan's Irish Pub next door, and take home a growler for later. You're going to love our beer.","http://www.pitchforkbrewing.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/OF6Ab1/upload_JuGeKP-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/OF6Ab1/upload_JuGeKP-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/OF6Ab1/upload_JuGeKP-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","709 Rodeo Circle","Hudson","Wisconsin","54016","","","44.9653328","-92.6830085","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","",""
"2CRlqm","Pittsfield Brew Works","We have been crafting great beer, great food, and good times here in Pittsfield since 2005. Our main philosophy is you get what you give.Throughout the year we source ingredients for our menu and our beer locally. We pride ourselves on producing the freshest food and beer in the Berkshires. Our pub serves as a community hub for locals and varied organizations. Our laidback environment, dynamic menu, and great beers makes the Brew Works the best brewpub in the area.We are located in the heart of downtown Pittsfield at:","http://pittsfieldbrewworks.com/","2005","N","https://s3.amazonaws.com/brewerydbapi/brewery/O8BTtG/upload_MoACxD-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/O8BTtG/upload_MoACxD-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/O8BTtG/upload_MoACxD-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","34 Depot Street","Pittsfield","Massachusetts","01201","413-997-3506","","42.450747","-73.254199","Y","N","Y","N","brewpub","Brewpub","US","2005","United States","USA","","","2010",""
"eWAa0D","Pivara Skopje","","http://www.pivaraskopje.com.mk/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","Skopje","","","","","41.994755","21.429934","Y","N","N","Y","micro","Micro Brewery","ML","","Mali","MLI","466","","",""
