id,name,description,website,established,isOrganic,images__icon,images__medium,images__large,streetAddress,locality,region,postalCode,latitude,longitude,phone,hoursOfOperation,isPrimary,inPlanning,isClosed,openToPublic,locationType,locationTypeDisplay,countryIsoCode,displayName,isoThree,yearOpened,yearClosed
Af10Nt,#FREEDOM Craft Brewery,"#FREEDOM started as a joint venture of Barry Hansen Jr, Greg Cristallo, Angus Sinclair, David Hitchings, Eric Phillips and Harris Decker. The company now consists of eight partners and has recently moved into a new facility to begin production.    Established in 2012, #FREEDOM Craft Brewery (pronounced ""Hashtag Freedom"") features modern beers brewed using traditional methods. Our brews are all natural and our flagship beer is created entirely of American grown ingredients.",http://freedombrew.us,2012,N,https://s3.amazonaws.com/brewerydbapi/brewery/YXDiJk/upload_GnvK3I-icon.png,https://s3.amazonaws.com/brewerydbapi/brewery/YXDiJk/upload_GnvK3I-medium.png,https://s3.amazonaws.com/brewerydbapi/brewery/YXDiJk/upload_GnvK3I-large.png,3199 Albany Post Road,Buchanan,New York,10511,41.2644499,-73.935531,(914) 979-2337,,Y,Y,N,N,micro,Micro Brewery,US,United States,USA,,
qxAQSJ,(512) Brewing Company,"(512) Brewing is a microbrewery located in the heart of Austin, brewing for the community using as many local, domestic and organic ingredients as possible. We use USDA organic 2-row base malt because it's the right thing to do. We self distribute because we can and we're draft only to keep the product fresh and to reduce disposable packaging. You can taste the passion in our products and we appreciate all our local support.",http://www.512brewing.com/,2008,N,https://s3.amazonaws.com/brewerydbapi/brewery/cJio9R/upload_knal4J-icon.png,https://s3.amazonaws.com/brewerydbapi/brewery/cJio9R/upload_knal4J-medium.png,https://s3.amazonaws.com/brewerydbapi/brewery/cJio9R/upload_knal4J-large.png,407 Radam,Austin,Texas,78745,30.2234,-97.769736,512-707-2337,,Y,N,N,Y,micro,Micro Brewery,US,United States,USA,2008,
vM3y9r,101 North Brewing Company,"Just a bunch of reckless boys who aren’t afraid to put the cart before the horse, twist every arm, break every sweat, and genuinely fake it till we make it. Because in these troubled times, creating and sharing beer with the world just made sense, if we could do it our way... with visual aids and a soundtrack.    At 101 North, we believe progressive is a beer style.",http://www.101northbeer.com/,,N,https://s3.amazonaws.com/brewerydbapi/brewery/IPhAuu/upload_Ly0JRh-icon.png,https://s3.amazonaws.com/brewerydbapi/brewery/IPhAuu/upload_Ly0JRh-medium.png,https://s3.amazonaws.com/brewerydbapi/brewery/IPhAuu/upload_Ly0JRh-large.png,1304 Scott St,Petaluma,California,94954,38.270416,-122.665037,(707) 778-8384,,Y,N,N,Y,micro,Micro Brewery,US,United States,USA,,
ZHGArj,1188 Brewing Company,"Grant County's first brewery, we are nestled in the city of John Day, Oregon surrounded by beautiful mountains, rivers, and ranchlands. Stop by for a cold pint, or to fill a growler or two. In addition to our own beers brewed on site, we also offer a number of guest taps from small breweries around Oregon.",http://1188brewing.com/,2012,N,https://s3.amazonaws.com/brewerydbapi/brewery/HNWXrd/upload_tBasPq-icon.png,https://s3.amazonaws.com/brewerydbapi/brewery/HNWXrd/upload_tBasPq-medium.png,https://s3.amazonaws.com/brewerydbapi/brewery/HNWXrd/upload_tBasPq-large.png,141 East Main Street,John Day,Oregon,97845,44.4160991,-118.9517181,(541) 575-1188,Wed:  11:00am - 9:00pm Thu:  11:00am - 9:00pm Fri:  11:00am - 9:00pm Sat:  11:00am - 9:00pm  ,Y,N,N,Y,micro,Micro Brewery,US,United States,USA,2012,
4XTqCU,127 Brewing,,https://www.facebook.com/127brewing,2014,N,https://s3.amazonaws.com/brewerydbapi/brewery/9oltPu/upload_hsq8BK-icon.png,https://s3.amazonaws.com/brewerydbapi/brewery/9oltPu/upload_hsq8BK-medium.png,https://s3.amazonaws.com/brewerydbapi/brewery/9oltPu/upload_hsq8BK-large.png,3090 Shirley Drive,Jackson,Michigan,49201,42.2860115,-84.4312613,(517) 258-1346,Wed:  5:00pm - 10:00pm Thu:  5:00pm - 10:00pm Fri:  5:00pm - 12:00am Sat:  5:00pm - 12:00am  ,Y,N,N,Y,micro,Micro Brewery,US,United States,USA,2014,
G5N8qx,14th Star Brewing,"History books tell us that local Vermonter and beer enthusiast Ethan Allen was a leader inthe effort to make Vermont the fourteenth star on the U.S. flag in 1791. And those textbooks are right; especially about the 1791 part.    Today, in Franklin County, Vermont, Army veteran Steve Gagner is honoring his home state and passion – brewing great beer – with 14th Star Brewing Co.    14th Star is Steve’s 1,200-square-foot nanobrewery on Lower Newton Street, in St. Albans City.    Nanobreweries make less than four-barrel batches, and as of your eyes hitting this paragraph, there are still less than 100 nanobreweries in America.    What makes 14th Star stand out? Well, it’s about the only brewery in Vermont that’s located above Burlington. Period.    But that’s not it. Not entirely.    You see – this is your beer. Oh, sure, Steve plans on starting you off with one-barrel batches of pale ale, brown ale, and Belgian white. There will be more, of course, but that’s up to you. So tell Steve what style beer you want in your 14th Star growler at: steve@14thstarbrewing.com.  On our end, we are readying to open our doors. Our goal is this July. (Check out our Pint of Progress on our home page.)    We can’t wait to watch you let your hair down and lift your glass, Vermont. We’ll enjoy that. And remember – this is your beer. You enjoy it.",http://www.14thstarbrewing.com/,2011,N,https://s3.amazonaws.com/brewerydbapi/brewery/XYOIqp/upload_bILhvF-icon.png,https://s3.amazonaws.com/brewerydbapi/brewery/XYOIqp/upload_bILhvF-medium.png,https://s3.amazonaws.com/brewerydbapi/brewery/XYOIqp/upload_bILhvF-large.png,41 Lower Newton Street,Saint Albans,Vermont,5478,44.8201794,-73.0852061,(802) 393-1459,Thu:  5:00pm - 9:00pm Fri:  5:00pm - 9:00pm Sun:  9:00am - 12:00pm  ,Y,N,N,Y,micro,Micro Brewery,US,United States,USA,2011,
huKquc,16 Mile Brewing Company,"16 Mile Brewing Company, Inc. opened its doors in July 2009 to the public. It is owned and operated by Brett McCrea and Chad Campbell.    The 16 Mile Brewing Company name harkens back to the late 1700’s when Georgetown was still known as Pettijohn’s old field, a rather isolated town, centrally located in Sussex County. The area was “16 miles from anywhere” in the county and was the best place for farmers, merchants, and politicians to meet to conduct official business. Georgetown replaced Lewes as the County Seat when numerous petitions were sent to Delaware’s General Assembly requesting that the move be made to accommodate all county residents. (For more information see “16 Miles from Anywhere: A History of Georgetown, Del., by William J. Wade.)",http://16milebrewery.com/,2009,N,https://s3.amazonaws.com/brewerydbapi/brewery/P8gV9M/upload_PsZP5g-icon.png,https://s3.amazonaws.com/brewerydbapi/brewery/P8gV9M/upload_PsZP5g-medium.png,https://s3.amazonaws.com/brewerydbapi/brewery/P8gV9M/upload_PsZP5g-large.png,413 S. Bedford St,Georgetown,Delaware,19947,38.678286,-75.378445,302-253-8816,Tue:  12:00pm - 5:00pm Wed:  12:00pm - 5:00pm Thu:  12:00pm - 5:00pm Fri:  11:00am - 7:00pm Sat:  11:00am - 5:00pm  ,Y,N,N,Y,micro,Micro Brewery,US,United States,USA,2009,
1sdzYJ,18th Street Brewery,Hand-crafting small and big beers for NW Indiana and Chicagoland.,http://18thstreetbrewery.com/,2010,N,https://s3.amazonaws.com/brewerydbapi/brewery/wTxSsQ/upload_sE4Myx-icon.png,https://s3.amazonaws.com/brewerydbapi/brewery/wTxSsQ/upload_sE4Myx-medium.png,https://s3.amazonaws.com/brewerydbapi/brewery/wTxSsQ/upload_sE4Myx-large.png,5725 Miller Ave,Gary,Indiana,46403,41.5991143,-87.2671887,(219) 939-8802,Tue:  3:00pm - 10:00pm Wed:  3:00pm - 10:00pm Thu:  12:00pm - 10:00pm Fri:  12:00pm - 12:00am Sat:  12:00pm - 12:00am Sun:  12:00pm - 10:00pm  ,Y,N,N,Y,micro,Micro Brewery,US,United States,USA,2014,
KE3f43,192 Brewing Company,"We began building our dream in 2007. We have improved our recipes, gathered feedback, made changes, and sampled our products. We have one concept. We want to Make great beer. Not beer that tastes like a bitter plant, or a leather belt. Not clear beer that has been mass produced and over filtered. Just wonderful, fantastic beer, for the many. All from a very small space. 192 square feet to be exact. We have packed only the essentials into our brewery. We make every batch by hand and we nurture it every step of the way. Great beer is what we work for, and great beer is what we enjoy.",http://www.192brewing.com/,2009,N,https://s3.amazonaws.com/brewerydbapi/brewery/nFgA09/upload_4yQ840-icon.png,https://s3.amazonaws.com/brewerydbapi/brewery/nFgA09/upload_4yQ840-medium.png,https://s3.amazonaws.com/brewerydbapi/brewery/nFgA09/upload_4yQ840-large.png,7811 Ne 205th Street,Kenmore,Washington,98028,47.776554,-122.2351,253-232-0928,Mon:  4:00pm - 10:00pm Tue:  4:00pm - 10:00pm Wed:  4:00pm - 10:00pm Thu:  4:00pm - 10:00pm Fri:  12:00pm - 10:00pm Sat:  12:00pm - 10:00pm Sun:  12:00pm - 7:00pm  ,Y,N,N,Y,micro,Micro Brewery,US,United States,USA,2009,
IeU7pq,The Lake Trail Taproom,,http://www.192brewing.com/,,,,,,7324 NE 175th Street,Kenmore,Washington,98028,47.7566065,-122.2424505,(425) 424-2337,Mon:  4:00pm - 10:00pm Tue:  4:00pm - 10:00pm Wed:  4:00pm - 10:00pm Thu:  4:00pm - 10:00pm Fri:  12:00pm - 12:00am Sat:  12:00pm - 12:00am Sun:  12:00pm - 8:00pm  ,N,N,N,Y,tasting,Tasting Room,US,United States,USA,2012,
