abbrev,state,capital,latitude,longitude
AL,Alabama,Montgomery,32.38012,-86.300629
AK,Alaska,Juneau,58.29974,-134.406794
AZ,Arizona,Phoenix,33.44826,-112.075774
AR,Arkansas,Little Rock,34.748655,-92.274494
CA,California,Sacramento,38.579065,-121.491014
CO,Colorado,Denver,39.74001,-104.992259
CT,Connecticut,Hartford,41.763325,-72.674069
DE,Delaware,Dover,39.158035,-75.524734
FL,Florida,Tallahassee,30.439775,-84.280649
GA,Georgia,Atlanta,33.748315,-84.391109
HI,Hawaii,Honolulu,21.30477,-157.857614
ID,Idaho,Boise,43.60698,-116.193409
IL,Illinois,Springfield,39.801055,-89.643604
IN,Indiana,Indianapolis,39.76691,-86.149964
IA,Iowa,Des Moines,41.58979,-93.615659
KS,Kansas,Topeka,39.049285,-95.671184
KY,Kentucky,Frankfort,38.19507,-84.878694
LA,Louisiana,Baton Rouge,30.443345,-91.186994
ME,Maine,Augusta,44.318036,-69.776218
MD,Maryland,Annapolis,38.9767,-76.489934
MA,Massachusetts,Boston,42.358635,-71.056699
MI,Michigan,Lansing,42.73194,-84.552249
MN,Minnesota,Saint Paul,44.943829,-93.093326
MS,Mississippi,Jackson,32.29869,-90.180489
MO,Missouri,Jefferson City,38.577515,-92.177839
MT,Montana,Helana,46.58976,-112.021202
NE,Nebraska,Lincoln,40.81362,-96.707739
NV,Nevada,Carson City,39.164885,-119.766999
NH,New Hampshire,Concord,43.20725,-71.536604
NJ,New Jersey,Trenton,40.217875,-74.759404
NM,New Mexico,Santa Fe,35.691543,-105.937406
NY,New York,Albany,42.651445,-73.755254
NC,North Carolina,Raleigh,35.78551,-78.642669
ND,North Dakota,Bismarck,46.805372,-100.779334
OH,Ohio,Columbus,39.96196,-83.002984
OK,Oklahoma,Oklahoma City,35.472015,-97.520354
OR,Oregon,Salem,44.93326,-123.043814
PA,Pennsylvania,Harrisburg,40.259865,-76.88223
RI,Rhode Island,Providence,41.823875,-71.411994
SC,South Carolina,Columbia,33.99855,-81.045249
SD,South Dakota,Pierre,44.368924,-100.350158
TN,Tennessee,Nashville,36.167783,-86.778365
TX,Texas,Austin,30.267605,-97.742984
UT,Utah,Salt Lake City,40.759505,-111.888229
VT,Vermont,Montpelier,44.260299,-72.576264
VA,Virginia,Richmond,37.5407,-77.433654
WA,Washington,Olympia,47.039231,-122.891366
WV,West Virginia,Charleston,38.350195,-81.638989
WI,Wisconsin,Madison,43.07295,-89.386694
WY,Wyoming,Cheyenne,41.134815,-104.821544
