breweryID,name,beerAdvocate endpoint,breweryRating,beerRating
Af10Nt,#FREEDOM Craft Brewery,,,-
ZHGArj,1188 Brewing Company,/beer/profile/35739/,,4.05
vM3y9r,101 North Brewing Company,/beer/profile/31027/,,3.6
4XTqCU,127 Brewing,/beer/profile/34957/,,3.56
qxAQSJ,(512) Brewing Company,/beer/profile/17863/,92,3.95
G5N8qx,14th Star Brewing,/beer/profile/31551/,,3.77
huKquc,16 Mile Brewing Company,/beer/profile/20688/,84,3.65
1sdzYJ,18th Street Brewery,/beer/profile/31042/,95,4.06
IeU7pq,The Lake Trail Taproom,,,-
KE3f43,192 Brewing Company,/beer/profile/22972/,,2.54
n8zipR,1933 Brewing Company,/beer/profile/34313/,,3.85
XfmmJI,1974 Brewing Company,,,-
YrVHMv,23rd Street Brewery,/beer/profile/9167/,86,3.62
JCb4IX, Inc.,,,-
BBE5WM,2nd Shift Brewing Co,,,-
wXmTDU,21st Amendment Brewery,/beer/profile/735/,89,3.72
0v0P7r,2kids Brewing Company,/beer/profile/33347/,,3.7
w4Qouf,3 Beards Beer Company,/beer/profile/30535/,,3.38
PbmcEW,3 Daughters Brewing,/beer/profile/33476/,93,3.71
nd3PQ1,3 Guys and a Beer'd Brewing Company,,,-
LMfC4N,3 Herons Brewing Company,,,-
PofhpE,3 Stars Brewing Company,/beer/profile/25696/,85,3.61
BWRwOL,300 Suns Brewing,/beer/profile/36816/,,0
5R4Akp,3 Sheeps Brewing Company,,,-
mJEOcA,303 Brewing Company,,,-
1mRL8J,350 Brewing Company,,,-
sjblac,38 State Brewing Company,/beer/profile/36581/,,3
nJjPsG,4 Hands Brewing Company,,,-
OwHCJM,3rd Wave Brewing Co.,,,-
wZgKXi,4 Brothers Blended Beer,/beer/profile/34056/,,0
CL1RZ9,4 Noses Brewing Company,/beer/profile/35764/,91,4.12
AtnxIp,40 North Brewing,,,-
WZYtNu,4 Paws Brewing,,,-
Fa7dDu,41 Oaks Brewing,,,-
eDYckD,4 Seasons Brewery,,,-
t5YwQy,4th Street Brewing Co,/beer/profile/9694/,,3.6
rtqRNL,450 North Brewing Company,/beer/profile/35021/,,3.46
xgO0Do,5 Boroughs Brewery,,,-
Glq8HX,49th State Brewing Company,/beer/profile/26743/,94,3.95
VPHkaP,4th Way Brewing Company,,,-
16DsvO,5 Points Brewing Co,,,-
k2jMtH,50 Back Brewing Company,/beer/profile/23373/,,2.88
6XI3gD,Westside,/beer/profile/20017/,89,3.91
63i9qL,508 Gastrobrewery,/beer/profile/25860/,95,4
7j0Yjq,5 Rabbit Cerveceria Inc,,,-
dPwh4p,Prado,/beer/profile/1032/,92,3.94
UDZFWm,North,/beer/profile/19544/,98,3.89
1G00Sn,51 North Brewing Company,/beer/profile/31270/,86,3.57
x24PL7,5 Stones Artisan Brewery,,,-
ir0rpe,515 Brewing Company,/beer/profile/31011/,90,3.77
W3pb09,51st Ward Beer Company,/beer/profile/36419/,,3.89
XQW2de,53 Peaks Brewing Co,,,-
MMSB2i,5th Street Brewpub,,,-
ygAzC9,612Brew,,,-
Bayz1A,7 Devils Brewing Co,/beer/profile/34215/,,0
GW5brB,57 Brew Pub & Bistro,/beer/profile/32165/,,3.38
a06oNF,77 Beer Co,,,-
DJcbV1,75th Street Brewery,/beer/profile/2143/,85,3.6
QyT3s1,7 Hermits Brewing Company,/beer/profile/34031/,,3.99
aztnLa,7 Seas Brewing Company,,,-
bzv1qy,7venth Sun Brewing,,,-
q7dLm5,903 Brewers,/beer/profile/31850/,,3.79
mxXzUr,907 Brewing,,,-
nSnV7u,8th Wonder Brewing Company,,,-
IDlepc,St. Augustine Florida,,,-
XXgGZ4, LLC,,,-
WLxlVR,Abandon Brewing Company,,,-
Rx4Dnt,A1A Ale Works,/beer/profile/3972/,83,3.52
9rP4iV,Abbey Brewing Co,/beer/profile/1765/,94,3.7
0oZVAo,Aberdeen Brewing,,,-
xUSU8W,Abigaile Brewery,/beer/profile/31789/,,3.8
4Gn1xK,Aardwolf Brewing Company,/beer/profile/30858/,98,4.18
mB7srw,Abbey Ridge Tap Room,/beer/profile/34790/,,3.28
OUqh1N,Abbey Wright Brewing Company,,,-
